YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2006 01 06 17 00  20  6.2  7.7  0.40  2.00 99.00 999 1004.0   2.9   5.4  -1.4 99.0 99.00
2006 01 06 18 00  10  6.2  7.7  0.40  3.00 99.00 999 1003.9   3.4   5.4  -1.6 99.0 99.00
2006 01 06 19 00 350  7.2  9.3  0.40  3.00 99.00 999 1004.2   3.4   5.4  -1.7 99.0 99.00
2006 01 06 20 00 340  7.7 10.3  0.40  3.00 99.00 999 1004.6   2.6   5.4  -1.7 99.0 99.00
2006 01 06 21 00 350 10.3 13.9  0.50  3.00 99.00 999 1005.0   2.0   5.4  -3.6 99.0 99.00
2006 01 06 22 00 340  9.3 12.4  0.80  3.00 99.00 999 1005.3   1.6   5.4  -4.1 99.0 99.00
2006 01 06 23 00 340  8.2 11.3  0.70  3.00 99.00 999 1006.4   1.5   5.3  -4.5 99.0 99.00
2006 01 07 00 00 340  7.2  9.3  0.60  3.00 99.00 999 1007.2   1.0   5.3  -4.7 99.0 99.00
2006 01 07 01 00 330  8.2 11.8  0.60  3.00 99.00 999 1007.6   0.5   5.3  -5.3 99.0 99.00
2006 01 07 02 00 330  9.3 12.9  0.60  3.00 99.00 999 1007.7  -0.4   5.3  -6.2 99.0 99.00
2006 01 07 03 00 330  9.8 13.4  0.70  3.00 99.00 999 1008.0  -1.0   5.3  -6.8 99.0 99.00
2006 01 07 04 00 330  9.3 12.9  0.70  4.00 99.00 999 1008.4  -1.4   5.3  -6.8 99.0 99.00
2006 01 07 05 00 340  8.8 11.8  0.80  4.00 99.00 999 1009.1  -1.8   5.3  -7.6 99.0 99.00
2006 01 07 06 00 340  8.2 10.8  0.60  4.00 99.00 999 1009.9  -1.5   5.3  -7.3 99.0 99.00
2006 01 07 07 00 330  7.7 10.3  0.60  4.00 99.00 999 1010.3  -1.7   5.2  -7.1 99.0 99.00
2006 01 07 08 00 320  8.2 11.8  0.60  4.00 99.00 999 1010.3  -1.7   5.3  -7.3 99.0 99.00
2006 01 07 09 00 320  7.2 10.8  0.60  4.00 99.00 999 1011.3  -2.3   5.2  -7.5 99.0 99.00
2006 01 07 10 00 320  6.7  9.3  0.60  4.00 99.00 999 1011.7  -2.7   5.2  -7.7 99.0 99.00
2006 01 07 11 00 340  5.7  7.7  0.60  4.00 99.00 999 1012.7  -3.3   5.2  -8.3 99.0 99.00
2006 01 07 12 00 330  4.1  6.2  0.60  4.00 99.00 999 1013.5  -3.3   5.2  -9.0 99.0 99.00
2006 01 07 13 00 320  4.6  7.2  0.50  4.00 99.00 999 1014.6  -3.2   5.2  -8.9 99.0 99.00
2006 01 07 14 00 320  4.1  6.7  0.50  4.00 99.00 999 1014.8  -3.3   5.2  -9.2 99.0 99.00
2006 01 07 15 00 320  3.6  6.2  0.40  4.00 99.00 999 1013.8  -3.1   5.2  -8.7 99.0 99.00
2006 01 07 16 00 300  3.6  5.7  0.30  4.00 99.00 999 1012.9  -2.8   5.2  -8.7 99.0 99.00
2006 01 07 17 00 280  5.1  6.7  0.30  4.00 99.00 999 1012.2  -2.1   5.2  -8.6 99.0 99.00
2006 01 07 18 00 330  4.1  6.2  0.30  3.00 99.00 999 1012.2  -1.2   5.2  -8.0 99.0 99.00
2006 01 07 19 00 320  3.6  5.1  0.20 99.00 99.00 999 1012.3  -1.1   5.2  -8.2 99.0 99.00
2006 01 07 20 00 300  2.6  4.6  0.20 99.00 99.00 999 1012.9  -0.4   5.2  -8.2 99.0 99.00
2006 01 07 21 00 300  3.1  5.7  0.20 99.00 99.00 999 1013.4  -0.1   5.2  -8.3 99.0 99.00
2006 01 07 22 00 300  3.1  4.6  0.20 99.00 99.00 999 1014.0   0.3   5.2  -8.6 99.0 99.00
2006 01 07 23 00 300  4.6  6.7  0.20 99.00 99.00 999 1014.8   0.5   5.2  -8.6 99.0 99.00
2006 01 08 00 00 300  4.1  5.7  0.30  3.00 99.00 999 1015.4   0.8   5.2  -7.9 99.0 99.00
2006 01 08 01 00 270  5.1  6.7  0.30  3.00 99.00 999 1015.7   1.2   5.2  -8.0 99.0 99.00
2006 01 08 02 00 270  6.7  9.3  0.30  3.00 99.00 999 1015.8   1.6   5.2  -5.7 99.0 99.00
