YYYY MM DD hh  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2004 02 05 18 290  5.7 99.0  0.60  3.00 99.00 999 9999.0  -0.2 999.0  -8.1 99.0 99.00
2004 02 05 19 270  7.7 99.0  0.80  4.00 99.00 999 9999.0  -1.2 999.0  -6.0 99.0 99.00
2004 02 05 20 260  7.2 99.0  0.70  4.00 99.00 999 9999.0  -0.9 999.0  -6.2 99.0 99.00
2004 02 05 21 270  6.2 99.0  0.60  4.00 99.00 999 9999.0  -0.4 999.0  -4.9 99.0 99.00
2004 02 05 22 290  4.1 99.0  0.40  4.00 99.00 999 9999.0   0.3 999.0  -5.8 99.0 99.00
2004 02 05 23 320  2.6 99.0  0.30  4.00 99.00 999 9999.0   0.1 999.0  -4.8 99.0 99.00
2004 02 06 00 100  3.1 99.0  0.50  3.00 99.00 999 9999.0   0.8 999.0   0.5 99.0 99.00
2004 02 06 01   0  0.0 99.0  0.40  6.00 99.00 999 9999.0   0.9 999.0   0.7 99.0 99.00
2004 02 06 02   0  0.0 99.0  0.30  4.00 99.00 999 9999.0   1.4 999.0   1.2 99.0 99.00
2004 02 06 03   0  0.0 99.0  0.20 99.00 99.00 999 9999.0   1.1 999.0   0.9 99.0 99.00
2004 02 06 04  10  1.5 99.0  0.10 99.00 99.00 999 9999.0   0.9 999.0   0.7 99.0 99.00
2004 02 06 05   0  0.0 99.0  0.20 99.00 99.00 999 9999.0  -0.2 999.0  -8.4 99.0 99.00
2004 02 06 06  60  1.5 99.0  0.10 99.00 99.00 999 9999.0  -0.3 999.0  -7.2 99.0 99.00
2004 02 06 07  60  1.5 99.0  0.10 99.00 99.00 999 9999.0  -0.3 999.0  -6.7 99.0 99.00
2004 02 06 08  50  0.5 99.0  0.10 99.00 99.00 999 9999.0  -0.3 999.0  -6.5 99.0 99.00
2004 02 06 09 150  2.1 99.0  0.10 99.00 99.00 999 9999.0  -0.5 999.0  -4.7 99.0 99.00
2004 02 06 10 150  3.1 99.0  0.10 99.00 99.00 999 9999.0  -0.8 999.0  -5.2 99.0 99.00
2004 02 06 11 110  7.7 99.0  0.20  2.00 99.00 999 9999.0  -2.2 999.0  -2.8 99.0 99.00
2004 02 06 12 100  8.2 99.0  0.40  3.00 99.00 999 9999.0  -1.9 999.0  -2.4 99.0 99.00
2004 02 06 13 110  7.2 99.0  0.50  3.00 99.00 999 9999.0  -1.0 999.0  -1.4 99.0 99.00
2004 02 06 14 130  4.1 99.0  0.40  3.00 99.00 999 9999.0  -0.8 999.0  -1.0 99.0 99.00
2004 02 06 15 110  4.1 99.0  0.30  3.00 99.00 999 9999.0  -0.2 999.0  -0.5 99.0 99.00
2004 02 06 16 130  5.7 99.0  0.30  3.00 99.00 999 9999.0   0.1 999.0  -0.2 99.0 99.00
2004 02 06 17 130  6.2 99.0  0.30  3.00 99.00 999 9999.0   0.6 999.0   0.3 99.0 99.00
2004 02 06 18 130  6.2 99.0  0.40  3.00 99.00 999 9999.0   0.8 999.0   0.5 99.0 99.00
2004 02 06 19  90  7.2 99.0  0.40  4.00 99.00 999 9999.0   0.6 999.0   0.4 99.0 99.00
2004 02 06 20  20  5.7 99.0  0.50  4.00 99.00 999 9999.0   1.0 999.0   0.6 99.0 99.00
2004 02 06 21  90  5.1 99.0  0.60  4.00 99.00 999 9999.0   0.9 999.0   0.4 99.0 99.00
2004 02 06 22  80  5.1 99.0  0.60  4.00 99.00 999 9999.0   0.6 999.0   0.4 99.0 99.00
2004 02 06 23 110  4.1 99.0  0.60  3.00 99.00 999 9999.0   0.9 999.0   0.6 99.0 99.00
2004 02 07 00 300  8.2 99.0  0.60  4.00 99.00 999 9999.0   1.6 999.0  -3.8 99.0 99.00
2004 02 07 01 300  7.2 99.0  0.60  4.00 99.00 999 9999.0   1.5 999.0  -4.7 99.0 99.00
2004 02 07 02 310 11.8 99.0  0.80  4.00 99.00 999 9999.0   0.4 999.0  -7.2 99.0 99.00
2004 02 07 03 340 10.3 99.0  0.90  4.00 99.00 999 9999.0  -0.6 999.0  -7.5 99.0 99.00
2004 02 07 04 350 11.8 99.0  0.90  5.00 99.00 999 9999.0  -2.0 999.0  -8.8 99.0 99.00
2004 02 07 05 310  3.6 99.0  0.10 99.00 99.00 999 9999.0   0.4 999.0   0.3 99.0 99.00
2004 02 07 06 350  3.6 99.0  0.10 99.00 99.00 999 9999.0   0.5 999.0   0.3 99.0 99.00
2004 02 07 07 340  4.1 99.0  0.10 99.00 99.00 999 9999.0   0.3 999.0   0.2 99.0 99.00
2004 02 07 08 300  1.5 99.0  0.10 99.00 99.00 999 9999.0  -0.1 999.0  -0.2 99.0 99.00
2004 02 07 09 290  0.5 99.0  0.10 99.00 99.00 999 9999.0   0.2 999.0   0.0 99.0 99.00
2004 02 07 10 350  4.6 99.0  0.10 99.00 99.00 999 9999.0   0.3 999.0   0.1 99.0 99.00
2004 02 07 11 320  1.0 99.0  0.10 99.00 99.00 999 9999.0   0.1 999.0  -0.2 99.0 99.00
2004 02 07 12   0  0.0 99.0  0.10 99.00 99.00 999 9999.0   0.2 999.0  -0.1 99.0 99.00
2004 02 07 13 230  1.5 99.0  0.20 99.00 99.00 999 9999.0  -0.1 999.0  -0.3 99.0 99.00
2004 02 07 14 290  5.7 99.0  0.20 99.00 99.00 999 9999.0   0.1 999.0  -0.2 99.0 99.00
2004 02 07 16 270  4.1 99.0  0.20 99.00 99.00 999 9999.0   0.5 999.0   0.1 99.0 99.00
2004 02 07 17 280  4.1 99.0  0.20 99.00 99.00 999 9999.0   0.8 999.0   0.3 99.0 99.00
2004 02 07 18 300  5.1 99.0  0.30  2.00 99.00 999 9999.0   1.4 999.0   0.1 99.0 99.00
2004 02 07 21 300  5.7 99.0  0.30  3.00 99.00 999 9999.0   1.7 999.0  -0.8 99.0 99.00
