#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2017 01 01 00 25 999 99.0 99.0  2.75  7.14  5.73 217 9999.0 999.0   9.7 999.0 99.0 99.00
2017 01 01 00 55 999 99.0 99.0  3.25  7.14  6.13 222 9999.0 999.0   9.7 999.0 99.0 99.00
2017 01 01 01 25 999 99.0 99.0  3.28  7.14  6.15 221 9999.0 999.0   9.7 999.0 99.0 99.00
2017 01 01 01 55 999 99.0 99.0  3.55  7.69  6.33 214 9999.0 999.0   9.7 999.0 99.0 99.00
2017 01 01 02 25 999 99.0 99.0  3.85  7.69  6.68 225 9999.0 999.0   9.8 999.0 99.0 99.00
2017 01 01 02 55 999 99.0 99.0  3.77  8.33  6.82 225 9999.0 999.0   9.7 999.0 99.0 99.00
2017 01 01 03 25 999 99.0 99.0  3.84  8.33  6.82 222 9999.0 999.0   9.7 999.0 99.0 99.00
2017 01 01 03 55 999 99.0 99.0  4.05  9.09  7.12 225 9999.0 999.0   9.7 999.0 99.0 99.00
2017 01 01 04 25 999 99.0 99.0  4.30  9.09  7.11 231 9999.0 999.0   9.7 999.0 99.0 99.00
2017 01 01 04 55 999 99.0 99.0  4.21  9.09  7.11 222 9999.0 999.0   9.8 999.0 99.0 99.00
2017 01 01 05 25 999 99.0 99.0  4.34  9.09  7.19 226 9999.0 999.0   9.8 999.0 99.0 99.00
2017 01 01 05 55 999 99.0 99.0  4.50  9.09  7.44 228 9999.0 999.0   9.7 999.0 99.0 99.00
2017 01 01 06 25 999 99.0 99.0  4.07  9.09  7.18 225 9999.0 999.0   9.7 999.0 99.0 99.00
2017 01 01 06 55 999 99.0 99.0  3.90  9.09  7.24 222 9999.0 999.0   9.7 999.0 99.0 99.00
