#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2019 02 28 23 50  63  4.4  5.8  0.84  9.09  4.71 176 1024.6  -0.3   4.5  -6.3 99.0 99.00
2019 03 01 00 50  45  3.9  5.2  0.83  9.09  4.91 171 1025.3  -0.5   4.4  -7.5 99.0 99.00
2019 03 01 01 50  54  3.6  5.1  0.80  9.09  5.22 188 1025.4  -0.4   4.3  -7.6 99.0 99.00
2019 03 01 02 50  58  3.9  5.5  0.83  8.33  5.63 174 1025.6  -0.3   4.3  -7.7 99.0 99.00
2019 03 01 03 50  52  4.2  5.9  0.80  9.09  5.38 178 1025.6   0.0   4.3  -7.1 99.0 99.00
2019 03 01 05 50  50  3.2  5.0  0.74  8.33  5.11 172 1026.5   0.0   4.3  -8.6 99.0 99.00
2019 03 01 06 50  99  4.4  5.3  0.71  8.33  4.78 183 1025.9   0.0   4.3  -9.3 99.0 99.00
2019 03 01 07 50 104  4.1  6.8  0.71  8.33  5.02 180 1025.7   0.0   4.4  -8.0 99.0 99.00
2019 03 01 08 50  92  3.4  4.9  0.62  8.33  4.76 175 1026.3   0.1   4.4  -7.9 99.0 99.00
2019 03 01 09 50 102  3.9  5.8  0.62  8.33  4.82 203 1026.8   0.2   4.4  -7.5 99.0 99.00
2019 03 01 10 50 105  3.9  5.0  0.63  8.33  4.99 147 1027.4   0.3   4.4  -7.2 99.0 99.00
2019 03 01 11 50 114  4.2  5.7  0.56  7.69  4.63 166 1027.5   0.4   4.4  -7.4 99.0 99.00
2019 03 01 12 50 125  3.9  5.4  0.59  8.33  4.65 154 1028.4   0.4   4.4  -7.5 99.0 99.00
2019 03 01 13 50  61  6.8  8.6  0.56  7.69  4.52 168 1028.1  -0.2   4.4  -4.3 99.0 99.00
