#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2019 08 01 00 00 203  2.4  2.8 99.00 99.00 99.00 999 1016.6  23.7 999.0  23.2 99.0 99.00 
2019 08 01 00 10 197  2.5  2.9 99.00 99.00 99.00 999 1016.6  23.8 999.0  23.3 99.0 99.00 
2019 08 01 00 20 192  2.6  3.0 99.00 99.00 99.00 999 1016.8  23.7 999.0  23.2 99.0 99.00 
2019 08 01 00 30 197  2.3  2.9 99.00 99.00 99.00 999 1016.8  23.7 999.0  23.2 99.0 99.00 
2019 08 01 00 40 195  2.4  2.9  0.84  5.26  4.82 207 1016.7  23.7 999.0  23.2 99.0 99.00 
2019 08 01 00 50 187  2.7  3.2 99.00 99.00 99.00 999 1016.7  23.7 999.0  23.3 99.0 99.00 
2019 08 01 01 00 181  2.8  3.5 99.00 99.00 99.00 999 1016.6  23.7 999.0  23.3 99.0 99.00 
2019 08 01 01 10 184  3.0  3.7 99.00 99.00 99.00 999 1016.6  23.7 999.0  23.3 99.0 99.00 
2019 08 01 01 20 187  3.2  3.8 99.00 99.00 99.00 999 1016.8  23.7 999.0  23.3 99.0 99.00 
2019 08 01 01 30 187  3.5  4.1 99.00 99.00 99.00 999 1016.8  23.7 999.0  23.3 99.0 99.00 
2019 08 01 01 40 182  3.7  4.5  0.86  4.76  4.78 210 1016.8  23.8 999.0  23.4 99.0 99.00 
2019 08 01 01 50 183  3.7  4.3 99.00 99.00 99.00 999 1016.6  23.8 999.0  23.4 99.0 99.00 
2019 08 01 02 00 180  3.9  4.6 99.00 99.00 99.00 999 1016.5  23.8 999.0  23.4 99.0 99.00 
2019 08 01 02 10 173  3.5  4.3 99.00 99.00 99.00 999 1016.5  23.8 999.0  23.4 99.0 99.00 
2019 08 01 02 20 173  3.1  4.0 99.00 99.00 99.00 999 1016.4  23.8 999.0  23.4 99.0 99.00 
2019 08 01 02 30 176  3.2  3.7 99.00 99.00 99.00 999 1016.4  23.8 999.0  23.3 99.0 99.00 
2019 08 01 02 40 183  3.5  4.4  0.89  5.26  4.78 216 1016.4  23.7 999.0  23.2 99.0 99.00 
