#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2019 05 08 20 30 207  0.5  1.3 99.00 99.00 99.00 999 1023.1  12.0  13.2   7.2 99.0 99.00 
2019 05 08 20 40 209  0.5  1.4 99.00 99.00 99.00 999 1023.1  12.1  13.1   7.2 99.0 99.00 
2019 05 08 20 50 209  0.5  1.4 99.00 99.00 99.00 999 1023.0  12.3  13.2   7.3 99.0 99.00 
2019 05 08 21 00 208  0.6  1.4 99.00 99.00 99.00 999 1023.1  12.3  13.1   7.3 99.0 99.00 
2019 05 08 21 10 209  0.5  1.3 99.00 99.00 99.00 999 1023.0  12.1  12.9   7.2 99.0 99.00 
2019 05 08 21 20 210  0.7  1.6 99.00 99.00 99.00 999 1022.9  11.7  12.5   7.0 99.0 99.00 
2019 05 08 21 30 206  0.6  1.6 99.00 99.00 99.00 999 1022.9  11.7  12.7   7.0 99.0 99.00 
2019 05 08 21 40 210  0.5  1.3 99.00 99.00 99.00 999 1022.9  11.8  13.5   7.2 99.0 99.00 
2019 05 08 21 50 209  0.5  1.4 99.00 99.00 99.00 999 1022.9  11.8 999.0   7.3 99.0 99.00 
2019 05 08 22 00 211  0.5  1.3 99.00 99.00 99.00 999 1023.0  11.7 999.0   7.2 99.0 99.00 
2019 05 08 22 10 273  0.2  1.0 99.00 99.00 99.00 999 1023.2  12.1 999.0   7.5 99.0 99.00 
2019 05 08 22 20 342  0.1  0.9 99.00 99.00 99.00 999 1022.9  12.6 999.0   7.2 99.0 99.00 
2019 05 08 22 30 311  0.1  0.7 99.00 99.00 99.00 999 1023.0  12.2  13.0   6.9 99.0 99.00 
2019 05 08 22 40 322  0.8  1.6  1.20  8.33  7.97 203 1023.5  12.2  13.2   6.9 99.0 99.00 
2019 05 08 22 50 288  0.1  1.4 99.00 99.00 99.00 999 1023.1  12.2  13.3   6.8 99.0 99.00 
2019 05 08 23 00 107  0.2  1.0 99.00 99.00 99.00 999 1023.1  12.1  13.2   7.0 99.0 99.00 
2019 05 08 23 10 332  0.1  2.5 99.00 99.00 99.00 999 1023.2  11.8  13.1   7.2 99.0 99.00 
2019 05 08 23 20 319  0.1  0.7 99.00 99.00 99.00 999 1023.5  11.8  13.1   7.4 99.0 99.00 
2019 05 08 23 30 212  0.0  0.2 99.00 99.00 99.00 999 1023.6  11.8  13.2   7.4 99.0 99.00 
2019 05 08 23 40 344  0.0  0.6  1.15  8.33  7.93 205 1023.7  11.8  13.2   7.4 99.0 99.00 
