#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2019 02 01 00 30 270  9.8 12.9  0.90  4.00 99.00 999 9999.0  -6.6   2.4 999.0 99.0 99.00
2019 02 01 00 53 280 10.8 13.9  1.10  5.00 99.00 999 9999.0  -6.9   2.4 999.0 99.0 99.00
2019 02 01 01 00 280 10.8 13.9  1.10  5.00 99.00 999 9999.0  -6.9   2.4 999.0 99.0 99.00
2019 02 01 01 30 280 10.8 13.4  1.10  4.00 99.00 999 9999.0  -7.1   2.4 999.0 99.0 99.00
2019 02 01 01 45 270 10.3 13.4  1.30  5.00 99.00 999 9999.0  -7.2   2.4 999.0 99.0 99.00
2019 02 01 01 53 280  9.8 12.9  1.30  5.00 99.00 999 9999.0  -7.4   2.4 999.0 99.0 99.00
2019 02 01 02 15 270 10.3 13.9  1.30  5.00 99.00 999 9999.0  -7.4   0.0 999.0 99.0 99.00
2019 02 01 02 30 270 11.3 14.4  1.20  5.00 99.00 999 9999.0  -7.7   2.3 999.0 99.0 99.00
2019 02 01 02 53 270 11.3 14.9  1.30  5.00 99.00 999 9999.0  -7.7   2.3 999.0 99.0 99.00
2019 02 01 03 00 270 11.3 14.9  1.30  5.00 99.00 999 9999.0  -7.7   2.3 999.0 99.0 99.00
2019 02 01 03 30 280 10.8 13.4  1.30  5.00 99.00 999 9999.0  -7.9   2.3 999.0 99.0 99.00
2019 02 01 03 45 280 11.3 14.4  1.30  5.00 99.00 999 9999.0  -8.0   2.3 999.0 99.0 99.00
2019 02 01 03 53 290 10.8 13.4  1.40  5.00 99.00 999 9999.0  -8.0   2.3 999.0 99.0 99.00
2019 02 01 04 00 290 10.8 13.4  1.40  5.00 99.00 999 9999.0  -8.0   2.3 999.0 99.0 99.00
2019 02 01 04 15 280 11.3 13.9  1.40  5.00 99.00 999 9999.0  -7.9   2.3 999.0 99.0 99.00
2019 02 01 04 30 280 10.8 13.4  1.40  5.00 99.00 999 9999.0  -7.8   2.3 999.0 99.0 99.00
2019 02 01 04 53 280 11.3 14.4  1.40  5.00 99.00 999 9999.0  -7.7   0.0 999.0 99.0 99.00
2019 02 01 05 00 280 11.3 14.4  1.40  5.00 99.00 999 9999.0  -7.7   0.0 999.0 99.0 99.00
2019 02 01 05 15 280 11.3 13.9  1.40  5.00 99.00 999 9999.0  -7.5   2.4 999.0 99.0 99.00
2019 02 01 05 23 280 11.3 13.4  1.40  5.00 99.00 999 9999.0  -7.7   2.4 999.0 99.0 99.00
2019 02 01 05 30 280 11.3 13.4  1.40  5.00 99.00 999 9999.0  -7.6   0.0 999.0 99.0 99.00
