#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 10 30 17 50 308  8.2 11.0  0.67  3.70  3.36 303 1027.4   7.4  14.6  -1.6 99.0 99.00
2008 10 30 18 50 314  8.3 11.1  0.54  3.23  3.16 312 1027.5   8.2  14.7  -1.5 99.0 99.00
2008 10 30 19 50 303  7.1  9.8  0.56  3.33  3.25 312 1027.9   8.8  14.7  -1.9 99.0 99.00
2008 10 30 20 50 324  8.1 10.2  0.61  3.45  3.37 316 1028.1   9.6  14.7  -2.0 99.0 99.00
2008 10 30 21 50 314  7.9 10.3 99.00 99.00 99.00 999 1028.8   9.7  14.7  -2.4 99.0 99.00
2008 10 30 22 50 319  7.9 10.4  0.61  3.57  3.35 317 1029.6   9.9  14.5  -2.2 99.0 99.00
2008 10 30 23 50 314  8.5 10.9  0.64  3.57  3.39 305 1030.0   9.8  14.5  -2.1 99.0 99.00
2008 10 31 00 50 326  8.1 10.3  0.59  3.33  3.25 305 1030.5   9.9  14.5  -1.9 99.0 99.00
2008 10 31 01 50 322  7.7  9.2  0.59  3.45  3.28 286 1031.0   9.8  14.3  -1.1 99.0 99.00
2008 10 31 02 50 334  5.3  6.7  0.58  3.33  3.34 294 1031.6   9.5  14.0  -1.3 99.0 99.00
2008 10 31 03 50 311  6.2  7.5  0.46  3.13  3.17 304 1031.3   9.5  13.9  -1.4 99.0 99.00
2008 10 31 04 50 286  5.0  6.9  0.41  3.03  3.43 309 1031.5   9.7  13.9  -0.1 99.0 99.00
2008 10 31 05 50 271  5.5  6.4  0.37 10.81  3.54  97 1031.7   9.6  13.9  -1.4 99.0 99.00
2008 10 31 06 50 271  4.8  5.9  0.32 10.00  3.47  67 1031.7   9.7  13.8  -1.4 99.0 99.00
2008 10 31 07 50 273  5.6  6.3  0.36 10.00  3.56 109 1031.4   9.9  13.8  -0.9 99.0 99.00
2008 10 31 08 50 272  6.5  7.6  0.40 10.00  3.38 121 1031.4   9.7  13.8   1.2 99.0 99.00
2008 10 31 09 50 279  4.3  5.2  0.40 10.81  3.67 115 1031.8   9.8  13.8   2.4 99.0 99.00
2008 10 31 10 50 277  6.8  8.0  0.46 10.00  3.44 109 1031.4   9.8  13.8   2.0 99.0 99.00
2008 10 31 11 50 272  6.5  7.9  0.51  3.03  3.25 267 1031.6   9.5  13.8   1.9 99.0 99.00
2008 10 31 12 50 266  6.2  7.6  0.49 10.00  3.42 115 1031.6   9.6  13.8   1.7 99.0 99.00
2008 10 31 13 50 258  5.5  7.1  0.46 10.00  3.52 109 1031.3   9.3  13.8   2.2 99.0 99.00
2008 10 31 14 50 271  4.6  5.6  0.47  3.03  3.26 258 1030.8  10.3  13.8   2.0 99.0 99.00
2008 10 31 15 50 247  5.7  7.3  0.49  3.23  3.21 243 1029.9  11.9  13.9   1.4 99.0 99.00
2008 10 31 16 50 253  6.5  7.3  0.46  3.03  3.06 252 1028.4  13.1  13.9   0.7 99.0 99.00
2008 10 31 17 50 243  5.7  6.7  0.51  2.94  3.23 263 1027.3  14.1  13.9   3.1 99.0 99.00
2008 10 31 18 50 230  5.0  5.9  0.54  3.23  3.26 261 1026.2  14.9  14.0   5.6 99.0 99.00
