#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2019 12 01 00 00 999  8.3 11.2 99.00 99.00 99.00 999 1013.7 999.0   8.0 999.0 99.0 99.00 
2019 12 01 00 10 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0   8.0 999.0 99.0 99.00 
2019 12 01 00 20 999  7.6  9.9 99.00 99.00 99.00 999 1013.7 999.0   7.9 999.0 99.0 99.00 
2019 12 01 00 30 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0   7.9 999.0 99.0 99.00 
2019 12 01 00 40 999  7.0  8.7  0.61  3.33  3.19 275 1013.8 999.0   7.9 999.0 99.0 99.00 
2019 12 01 00 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0   7.9 999.0 99.0 99.00 
2019 12 01 01 00 999  7.6 11.0 99.00 99.00 99.00 999 1013.8   1.4   8.0 -11.7 99.0 99.00 
2019 12 01 01 10 999  9.5 12.0 99.00 99.00 99.00 999 9999.0   1.4   7.9 -11.2 99.0 99.00 
2019 12 01 01 20 999  9.1 11.2 99.00 99.00 99.00 999 1013.7 999.0   7.9 999.0 99.0 99.00 
2019 12 01 01 30 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0   7.9 999.0 99.0 99.00 
2019 12 01 01 40 999  8.0 10.2  0.54  3.57  3.03 254 1013.6 999.0   7.9 999.0 99.0 99.00 
2019 12 01 01 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0   7.9 999.0 99.0 99.00 
2019 12 01 02 00 999  7.8  9.3 99.00 99.00 99.00 999 1013.8 999.0   7.9 999.0 99.0 99.00 
2019 12 01 02 10 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0   7.9 999.0 99.0 99.00 
2019 12 01 02 20 999  7.5  9.3 99.00 99.00 99.00 999 1014.0 999.0   7.7 999.0 99.0 99.00 
2019 12 01 02 30 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0   7.7 999.0 99.0 99.00 
2019 12 01 02 40 999  8.0 10.0  0.50  2.86  2.85 297 1013.9 999.0   7.6 999.0 99.0 99.00 
