#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2009 12 31 23 50  24  5.6  6.4  0.16 99.00  2.82 999 1018.4   1.5   3.0   1.4 99.0 99.00
2010 01 01 00 50  22  6.2  7.3  0.24 99.00  2.57 999 1017.6   1.3   2.9   1.2 99.0 99.00
2010 01 01 01 50  22  5.5  6.6  0.30  2.60  2.65  28 1016.8   1.7   2.8   1.5 99.0 99.00
2010 01 01 02 50  19  4.7  5.8  0.29  2.47  2.91  25 1016.3   2.0   2.4   1.8 99.0 99.00
2010 01 01 03 50  14  4.3  4.9  0.31 11.43  3.24 275 1015.6   2.2   2.3   2.0 99.0 99.00
2010 01 01 04 50  20  4.6  5.1  0.33  3.85  3.34  85 1014.2   2.4   2.4   2.2 99.0 99.00
2010 01 01 05 50 351  4.9  5.8  0.28  4.00  3.08  87 1013.6   2.4   2.8   2.2 99.0 99.00
2010 01 01 06 50 350  5.2  6.0  0.26  2.47  2.80 356 1013.3   2.4   2.9   2.1 99.0 99.00
2010 01 01 07 50 335  5.2  5.9  0.25  2.47  2.72 340 1013.6   2.5   3.1   2.2 99.0 99.00
2010 01 01 08 50 334  5.9  7.1  0.27  2.35  2.70 355 1012.9   2.3   3.3   1.9 99.0 99.00
2010 01 01 09 50 336  7.5  8.7  0.39  2.74  2.70 352 1012.6   1.4   3.4   1.1 99.0 99.00
2010 01 01 10 50 341  8.4 10.0  0.51  2.94  2.98 347 1012.3   1.1   3.4   0.8 99.0 99.00
2010 01 01 11 50 335  7.7  9.4  0.54  3.03  2.98 347 1012.4   1.0   3.2   0.7 99.0 99.00
2010 01 01 12 50 336  7.9  9.3  0.49  3.03  2.96 354 1012.4   0.9   3.1   0.6 99.0 99.00
2010 01 01 13 50 333  6.3  7.2  0.44  3.03  2.89   4 1012.4   0.6   2.7   0.4 99.0 99.00
2010 01 01 14 50 339  6.3  7.3  0.45  2.86  3.08   1 1012.0   0.3   2.7   0.0 99.0 99.00
2010 01 01 15 50 358  5.5  6.5  0.46  2.60  3.35 345 1010.8   0.6   2.7   0.3 99.0 99.00
2010 01 01 16 50 332  3.6  4.3  0.42  4.76  3.33  96 1010.5   0.9   2.9   0.3 99.0 99.00
2010 01 01 17 50 296  1.1  2.0  0.34  2.94  3.31 351 1010.3   1.2   3.0   0.3 99.0 99.00
2010 01 01 18 50 296  2.0  2.6  0.34  5.00  3.39  78 1010.0   1.4   3.4   0.5 99.0 99.00
2010 01 01 19 50 354  1.4  2.7  0.38  8.33  4.12  93 1009.3   1.6   4.2   0.1 99.0 99.00
2010 01 01 20 50  15  4.2  5.2  0.41  8.33  4.61  89 1008.7   1.6   4.5  -0.1 99.0 99.00
2010 01 01 21 50   3  5.2  5.8  0.36  8.33  4.37  88 1008.4   1.6   4.6  -0.4 99.0 99.00
2010 01 01 22 50 351  5.1  5.9  0.36  8.33  3.77  89 1008.1   1.4   4.5  -0.5 99.0 99.00
2010 01 01 23 50 339  6.0  7.0  0.37  2.47  3.23  13 1007.6   1.4   4.1  -0.3 99.0 99.00
2010 01 02 00 50 358  5.1  5.9  0.35  5.00  3.31  89 1006.5   1.3   3.8  -0.2 99.0 99.00
2010 01 02 01 50 356  4.6  5.4  0.29  8.33  3.61 103 1005.5   1.4   3.4   0.1 99.0 99.00
2010 01 02 02 50 336  5.6  6.4  0.32  8.33  4.23  63 1004.5   1.3   3.2   0.0 99.0 99.00
2010 01 02 03 50 328  5.5  6.3  0.42  7.14  4.34  66 1003.2   1.2   3.2   0.2 99.0 99.00
2010 01 02 04 50 328  5.9  6.7  0.63  7.69  4.14  85 1001.6   1.4   3.0   0.7 99.0 99.00
2010 01 02 05 50 320  6.9  7.9  0.63  8.33  3.78  72 1000.9   1.2   3.1   0.9 99.0 99.00
2010 01 02 06 50 325  4.2  5.5  0.60  4.76  3.87  77 1001.2   1.2   3.2   1.0 99.0 99.00
2010 01 02 07 50 344  4.7  6.2  0.55 10.00  3.94  92 1000.3   1.5   4.1   1.4 99.0 99.00
2010 01 02 08 50   6  5.2  6.7  0.56  9.09  3.88  63  999.3   2.4   4.6   2.2 99.0 99.00
2010 01 02 09 50  32  6.7  7.8  0.62  4.76  3.57  79  998.6   3.3   4.8   2.4 99.0 99.00
2010 01 02 10 50   9  6.7  8.2  0.60  5.26  3.59  85  998.3   2.6   4.9   1.9 99.0 99.00
2010 01 02 11 50 356  7.2  8.8  0.52  4.76  3.45  86  997.6   2.2   4.8   1.6 99.0 99.00
2010 01 02 12 50 348  6.7  7.9  0.51  4.76  3.33  87  997.2   2.1   4.3   1.5 99.0 99.00
2010 01 02 13 50 360  7.8  9.4  0.50  5.00  3.27  86  996.8   2.1   3.7   1.3 99.0 99.00
2010 01 02 14 50   4 10.6 13.1  0.64  3.03  3.31  12  996.2   1.7   2.9   0.9 99.0 99.00
2010 01 02 15 50   2 10.2 12.1  0.97  3.70  3.69   1  995.3   1.2   2.5   0.4 99.0 99.00
2010 01 02 16 50 354 10.7 12.9  1.08  3.85  3.87  14  994.3   1.2   2.6   0.2 99.0 99.00
2010 01 02 17 50 346 12.0 14.2  1.16  4.00  3.91   9  993.6   0.8   3.2  -0.3 99.0 99.00
2010 01 02 18 50 328 12.4 15.1  1.38  4.55  4.06 348  993.4   0.0   4.1  -0.4 99.0 99.00
2010 01 02 19 50 317 10.7 12.9  1.27  4.55  4.25 327  993.7  -0.6   4.7  -1.1 99.0 99.00
2010 01 02 20 50 328 11.6 13.9  1.11  4.55  4.03 321  993.6  -0.8   5.0  -1.3 99.0 99.00
2010 01 02 21 50 338 12.3 14.8  1.10  4.35  3.95 312  993.0  -0.6   5.1  -1.2 99.0 99.00
2010 01 02 22 50 309 11.3 13.3  1.22  4.00  3.88 323  992.8  -1.1   5.1  -2.1 99.0 99.00
2010 01 02 23 50 295 11.2 13.7  1.04  4.00  3.57 317  992.1  -1.2   5.0  -2.2 99.0 99.00
2010 01 03 00 50 305 14.5 17.9  1.11  3.85  3.38 303  990.9  -1.3   4.9  -3.3 99.0 99.00
2010 01 03 01 50 305 16.2 19.2  1.43  4.00  3.62 296  989.8  -2.1   4.8  -4.5 99.0 99.00
2010 01 03 02 50 294 14.3 17.5  1.31  4.35  3.61 295  989.4  -2.7   4.6  -4.6 99.0 99.00
2010 01 03 03 50 297 15.1 18.5  1.45  4.17  3.71 287  988.5  -3.1   4.0  -5.4 99.0 99.00
2010 01 03 04 50 282 15.6 20.0  1.60  4.55  4.01 280  987.5  -3.5   3.6  -5.6 99.0 99.00
2010 01 03 05 50 286 16.7 20.0  1.68  4.76  4.31 285  986.8  -4.8   3.3  -7.2 99.0 99.00
2010 01 03 06 50 285 15.8 20.2  1.80  5.26  4.67 275  986.8  -4.9   3.2  -7.3 99.0 99.00
2010 01 03 07 50 281 15.9 20.8  1.80  5.56  4.82 278  986.6  -5.4   3.4  -7.5 99.0 99.00
2010 01 03 08 50 281 16.1 19.4  1.78  5.56  4.85 272  986.0  -5.7   4.0  -7.7 99.0 99.00
2010 01 03 09 50 280 15.6 19.6  1.73  5.88  4.59 273  985.7  -5.8   4.1  -7.5 99.0 99.00
2010 01 03 10 50 279 15.0 18.2  1.71  5.00  4.43 282  985.9  -6.1   4.2  -7.9 99.0 99.00
2010 01 03 11 50 282 14.8 17.9  1.47  4.76  3.99 277  986.3  -6.4   4.1  -8.2 99.0 99.00
