#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2018 02 25 03 50  24  4.3  5.1  0.53  8.33  5.85 177 1023.5   5.6   6.0   4.6 99.0 99.00
2018 02 25 04 50  65  3.5  4.2  0.55  9.09  4.98 198 1024.1   6.0   6.0   4.3 99.0 99.00
2018 02 25 05 50  41  4.6  5.7  0.54  8.33  5.18 189 1023.7   5.8   6.0   4.8 99.0 99.00
2018 02 25 06 50  69  5.9  7.4  0.54  9.09  4.57 138 1023.5   6.1   6.0   5.3 99.0 99.00
2018 02 25 07 50  95  7.0  9.0  0.56  8.33  4.48 197 1022.7   6.3   6.0   5.8 99.0 99.00
2018 02 25 08 50 101  7.6  9.4  0.68  9.09  3.93 153 1022.0   6.5   6.0   5.8 99.0 99.00
2018 02 25 09 50  88  8.8 10.6  0.84  3.57  3.84 110 1022.1   6.6   6.1   5.3 99.0 99.00
2018 02 25 10 50  84  8.6 10.2  1.00  4.17  3.94 106 1022.5   6.2   6.1   4.7 99.0 99.00
2018 02 25 11 50  93 10.9 13.7  1.16  4.55  3.92 105 1021.4   5.8   6.2   4.7 99.0 99.00
2018 02 25 12 50  84 12.4 15.2  1.57  4.76  4.39 105 1020.7   5.5   6.2   4.7 99.0 99.00
2018 02 25 13 50  93 13.3 15.9  1.88  5.56  4.75 114 1018.6   5.7   6.2   5.2 99.0 99.00
2018 02 25 14 50  91 12.8 15.0  2.07  5.88  4.94 110 1018.1   5.7   6.2   5.4 99.0 99.00
2018 02 25 15 50  96 12.4 16.3  2.02  6.67  4.98 121 1016.1   6.0   6.2   5.7 99.0 99.00
2018 02 25 16 50  74  9.3 11.3  2.18  6.67  5.15 116 1015.5   6.3   6.2   6.2 99.0 99.00
2018 02 25 17 50  91  9.8 12.0  2.44  6.67  5.41 119 1013.3   6.4   6.1   6.4 99.0 99.00
2018 02 25 18 50 105  8.2 10.7  2.36  6.67  5.46 119 1011.5   6.8   6.1   6.8 99.0 99.00
2018 02 25 19 50 170  5.2  6.6  2.20  6.25  5.54 116 1011.1   8.4   6.2   8.4 99.0 99.00
2018 02 25 20 50 250  7.8  9.7  1.87  7.14  5.41 100 1011.8   7.5   6.2   7.5 99.0 99.00
2018 02 25 21 50 327  7.7  9.2  1.87  7.69  5.72 100 1012.7   5.4   6.2   5.4 99.0 99.00
2018 02 25 22 50 356  6.8  8.3  1.83  7.69  5.51 105 1013.0   5.5   6.2   5.5 99.0 99.00
2018 02 25 23 50 327  5.1  6.4  1.85  6.67  5.70  89 1014.3   5.6   6.1   5.6 99.0 99.00
2018 02 26 00 50 304  4.7  6.0  1.81  7.14  5.84  91 1015.3   5.7   6.1   5.4 99.0 99.00
2018 02 26 01 50 315  4.2  5.5  1.85  7.14  6.01  97 1015.5   5.6   6.1   5.0 99.0 99.00
2018 02 26 02 50 306  3.8  5.3  1.62  7.14  5.71  90 1016.1   5.5   6.1   4.9 99.0 99.00
2018 02 26 03 50 306  3.8  5.1  1.57  8.33  5.84 105 1016.4   5.4   6.1   4.7 99.0 99.00
2018 02 26 04 50 301  3.4  4.3  1.65  7.69  6.25 105 1016.2   5.3   6.1   4.6 99.0 99.00
2018 02 26 05 50 294  4.2  5.1  1.33  7.14  5.88  96 1016.4   5.0   6.1   4.5 99.0 99.00
2018 02 26 06 50 275  4.8  5.7  1.37  8.33  5.88 106 1017.0   4.5   6.1   4.3 99.0 99.00
2018 02 26 07 50 278  5.0  6.4  1.23  8.33  5.94 101 1017.3   4.8   6.1   4.4 99.0 99.00
2018 02 26 08 50 300  4.4  5.5  1.26  7.69  6.21  90 1017.6   4.7   6.0   4.2 99.0 99.00
2018 02 26 09 50 314  2.8  3.5  1.19  7.69  6.22  78 1017.7   4.6   6.0   4.3 99.0 99.00
2018 02 26 10 50 338  1.3  1.8  1.17  7.69  6.30  98 1017.4   4.5   6.0   4.4 99.0 99.00
2018 02 26 11 50 249  2.4  3.2  1.14  7.14  6.65 100 1018.6   4.9   6.0   4.8 99.0 99.00
2018 02 26 12 50 254  2.9  3.6  1.13  7.14  6.64 101 1019.2   5.2   6.0   5.0 99.0 99.00
2018 02 26 13 50 276  4.5  5.4  1.13  7.69  6.84 111 1020.5   5.6   6.0   5.1 99.0 99.00
2018 02 26 14 50 296  4.0  5.0  1.20  8.33  6.70  97 1019.9   5.5   6.0   4.9 99.0 99.00
2018 02 26 15 50 276  2.0  2.8  1.17  8.33  6.91  99 1020.7   5.5   6.0   4.6 99.0 99.00
2018 02 26 16 50 252  3.3  4.0  1.00  8.33  6.65  92 1020.2   5.7   6.0   5.0 99.0 99.00
2018 02 26 17 50 256  4.5  5.4  1.03  8.33  6.73 110 1020.0   5.8   6.0   5.2 99.0 99.00
2018 02 26 18 50 260  4.9  5.7  1.08  7.69  6.65 113 1019.5   5.8   6.0   5.3 99.0 99.00
2018 02 26 19 50 256  5.0  6.0  0.88  7.69  5.89 101 1019.1   6.0   6.0   5.4 99.0 99.00
2018 02 26 20 50 261  5.3  6.7  1.01  7.69  6.00 102 1019.4   6.1   6.0   5.4 99.0 99.00
2018 02 26 21 50 262  6.0  6.9  0.88  7.69  5.64  91 1019.9   6.3   6.0   4.5 99.0 99.00
2018 02 26 22 50 271  4.8  6.0  0.88  7.69  5.48  87 1020.5   6.4   6.0   3.8 99.0 99.00
2018 02 26 23 50 272  4.7  5.5  0.78  6.67  5.10 115 1021.4   6.8   6.0   3.1 99.0 99.00
2018 02 27 00 50 255  5.1  6.0  0.83  7.69  5.57 101 1021.6   6.4   6.0   3.6 99.0 99.00
2018 02 27 01 50 259  5.4  6.4  0.73  7.69  5.25 105 1022.2   6.5   6.0   3.4 99.0 99.00
2018 02 27 02 50 280  5.0  5.7  0.74  8.33  5.27 119 1022.6   6.2   6.0   3.5 99.0 99.00
2018 02 27 03 50 291  5.5  6.5  0.70  7.69  5.16 118 1023.1   6.7   6.0   2.1 99.0 99.00
2018 02 27 04 50 320  5.7  6.9  0.67  9.09  5.35 130 1023.7   6.4   5.8   0.9 99.0 99.00
2018 02 27 05 50 314  6.0  6.9  0.71  9.09  4.85 138 1024.6   6.3   5.7   0.0 99.0 99.00
2018 02 27 06 50 319  4.7  5.8  0.72  7.69  4.65 122 1025.3   5.7   5.7   0.2 99.0 99.00
2018 02 27 07 50 326  8.0  9.8  0.67  8.33  4.59 114 1025.6   5.3   5.6  -0.9 99.0 99.00
2018 02 27 08 50 325  8.2  9.5  0.81  8.33  4.18  71 1025.7   5.3   5.6  -1.4 99.0 99.00
2018 02 27 09 50 319  6.3  7.5  0.83  7.69  4.21  97 1026.4   5.1   5.6  -1.4 99.0 99.00
2018 02 27 10 50 317  5.4  6.6  0.69  8.33  4.33 102 1026.8   4.9   5.6  -2.1 99.0 99.00
2018 02 27 11 50 299  3.9  5.0  0.63 10.00  4.66 106 1027.6   4.8   5.6  -1.3 99.0 99.00
2018 02 27 12 50 280  5.0  6.3  0.59  8.33  5.09  92 1028.2   5.0   5.6  -0.8 99.0 99.00
2018 02 27 13 50 286  5.1  6.2  0.56  8.33  4.32  97 1028.9   4.9   5.7  -1.3 99.0 99.00
2018 02 27 14 50 283  5.1  6.1  0.58  9.09  4.20 102 1028.9   4.8   5.8   0.1 99.0 99.00
2018 02 27 15 50 297  5.3  6.2  0.53  8.33  4.32 120 1028.8   5.7   5.9  -1.3 99.0 99.00
2018 02 27 16 50 276  4.4  5.4  0.49  9.09  4.60 123 1028.4   5.9   6.0  -1.3 99.0 99.00
2018 02 27 17 50 262  5.3  6.3  0.51  9.09  4.44 106 1027.7   5.9   6.0  -0.4 99.0 99.00
2018 02 27 18 50 261  5.8  6.8  0.53  8.33  4.24 113 1027.0   5.8   6.0   0.4 99.0 99.00
2018 02 27 19 50 249  5.0  6.5  0.50  8.33  3.98  94 1026.6   6.2   6.1   1.4 99.0 99.00
2018 02 27 20 50 240  5.3  6.6  0.54  8.33  4.08 101 1026.0   6.5   6.1   0.8 99.0 99.00
2018 02 27 21 50 237  6.5  7.9  0.63  9.09  4.18  87 1025.6   6.5   6.0   0.2 99.0 99.00
2018 02 27 22 50 219  5.8  6.6  0.62  9.09  4.25 114 1025.6   6.3   6.0   1.4 99.0 99.00
2018 02 27 23 50 219  5.6  6.5  0.64  3.33  4.11 235 1025.4   6.4   6.0   2.3 99.0 99.00
2018 02 28 00 50 224  6.8  8.3  0.66 10.81  3.97 103 1025.2   6.6   6.0   2.1 99.0 99.00
2018 02 28 01 50 229  8.4  9.7  0.81  3.85  3.88 231 1025.3   6.6   6.0   2.4 99.0 99.00
2018 02 28 02 50 226  7.6  8.8  0.88  3.70  3.86 237 1024.9   6.5   6.0   3.1 99.0 99.00
2018 02 28 03 50 224  7.6  8.9  0.93  4.35  4.12 231 1024.0   6.6   6.0   2.8 99.0 99.00
2018 02 28 04 50 224  8.6 10.2  0.97  4.17  4.04 229 1023.3   7.0   6.0   1.9 99.0 99.00
2018 02 28 05 50 234  9.5 11.9  1.06  4.35  4.23 233 1023.1   6.8   6.0   1.9 99.0 99.00
2018 02 28 06 50 239  9.1 11.3  1.16  4.76  4.29 228 1023.0   6.6   6.0   2.2 99.0 99.00
2018 02 28 07 50 243  8.4 10.2  1.24  5.00  4.33 230 1022.8   6.4   6.0   2.5 99.0 99.00
2018 02 28 08 50 242  7.8  9.7  1.15  5.00  4.27 221 1022.4   6.3   6.0   2.2 99.0 99.00
2018 02 28 09 50 238  8.1  9.3  1.17  5.26  4.45 237 1022.0   6.3   6.0   2.3 99.0 99.00
2018 02 28 10 50 235  7.6  9.4  1.15  5.56  4.45 234 1022.0   6.3   6.0   2.3 99.0 99.00
2018 02 28 11 50 235  7.7  9.3  1.12  5.26  4.33 225 1021.6   6.5   5.9   2.4 99.0 99.00
2018 02 28 12 50 230  6.6  7.9  1.14  5.56  4.49 223 1021.2   6.6   5.9   3.2 99.0 99.00
2018 02 28 13 50 230  7.7  9.1  1.11  5.56  4.61 217 1021.0   6.8   5.9   3.7 99.0 99.00
2018 02 28 14 50 227  7.2  8.5  1.03  5.56  4.44 225 1020.7   7.1   5.9   3.1 99.0 99.00
2018 02 28 15 50 228  7.3  8.6  0.97  5.26  4.24 220 1020.1   7.2   5.9   3.4 99.0 99.00
2018 02 28 16 50 223  6.6  7.9  0.96  5.00  4.30 221 1019.2   7.3   6.0   3.4 99.0 99.00
2018 02 28 17 50 216  6.7  7.7  0.99  4.55  4.41 222 1017.6   7.5   6.0   4.1 99.0 99.00
2018 02 28 18 50 212  8.8 10.1  1.14  5.26  4.53 222 1016.1   7.7   6.1   4.4 99.0 99.00
2018 02 28 19 50 213  8.6 10.6  1.21  5.26  4.43 220 1015.4   7.9   6.1   4.8 99.0 99.00
2018 02 28 20 50 211  8.9 10.3  1.26  5.26  4.45 228 1014.4   7.9   6.1   4.9 99.0 99.00
2018 02 28 21 50 214  9.0 10.5  1.27  5.00  4.58 219 1014.1   8.0   6.1   4.5 99.0 99.00
2018 02 28 22 50 211  9.2 10.6  1.32  5.26  4.48 218 1013.6   7.8   6.1   4.7 99.0 99.00
2018 02 28 23 50 213  9.0 10.4  1.40  5.26  4.69 215 1013.0   7.9   6.1   4.5 99.0 99.00
2018 03 01 00 50 220  9.2 10.7  1.47  5.26  4.73 218 1013.0   7.9   6.0   4.6 99.0 99.00
2018 03 01 01 50 221  8.7 10.4  1.67  5.88  5.06 224 1012.8   8.0   6.0   4.6 99.0 99.00
2018 03 01 02 50 228  7.8  9.2  1.49  5.88  5.04 223 1013.0   7.7   5.9   4.9 99.0 99.00
2018 03 01 03 50 233  6.0  6.9  1.42  5.56  5.16 218 1012.9   7.3   5.9   5.1 99.0 99.00
2018 03 01 04 50 222  5.9  7.0  1.44 16.00  5.41 126 1012.2   7.4   5.8   5.1 99.0 99.00
2018 03 01 05 50 229  5.0  6.4  1.30 17.39  5.45 113 1012.3   7.3   5.8   5.3 99.0 99.00
2018 03 01 06 50 227  6.8  8.0  1.28  6.25  5.53 220 1012.1   7.5   5.7   5.2 99.0 99.00
2018 03 01 07 50 231  4.0  4.5  1.26 16.00  5.57 102 1011.9   7.2   5.7   5.2 99.0 99.00
2018 03 01 08 50 227  4.8  5.9  1.25 16.00  5.81 135 1011.2   7.0   5.7   5.1 99.0 99.00
2018 03 01 09 50 236  4.6  5.5  1.21 16.00  5.81 107 1011.0   6.9   5.7   5.2 99.0 99.00
2018 03 01 10 50 240  4.1  4.7  1.23 16.00  5.79  96 1010.6   6.8   5.7   5.2 99.0 99.00
2018 03 01 11 50 247  3.4  4.1  1.15 14.81  5.63  91 1011.4   6.7   5.7   5.2 99.0 99.00
2018 03 01 12 50 234  2.3  2.6  1.14 17.39  5.73 122 1011.4   6.6   5.8   5.4 99.0 99.00
2018 03 01 13 50 214  2.9  3.4  1.17 16.00  6.03  91 1011.6   6.5   5.8   5.5 99.0 99.00
