#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 01 03 03 00 285  8.8 10.4  1.38  5.00  4.41 999 1027.0   7.4  10.4  -1.1 99.0 99.00
2007 01 03 04 00 284  8.2 10.3  1.33  5.56  4.41 999 1027.7   7.3  10.4  -1.4 99.0 99.00
2007 01 03 05 00 294  8.1  9.5  1.12  5.26  4.16 999 1027.6   7.5  10.4  -1.3 99.0 99.00
2007 01 03 06 00 284  7.6  8.9  1.07  5.00  4.18 999 1028.0   7.3  10.4  -0.4 99.0 99.00
2007 01 03 07 00 293  8.0  9.4  1.10  5.26  4.24 999 1028.2   7.3  10.3  -1.1 99.0 99.00
2007 01 03 08 00 288  6.9  8.0  0.97  4.55  4.00 999 1028.8   7.3  10.3  -1.4 99.0 99.00
2007 01 03 09 00 287  7.4  8.8  0.85  4.35  3.80 999 1028.8   7.4  10.3  -1.5 99.0 99.00
2007 01 03 10 00 285  7.2  8.5  0.89  4.76  3.94 999 1028.9   7.4  10.3  -1.4 99.0 99.00
2007 01 03 11 00 280  6.4  7.6  0.84  4.55  3.86 999 1029.2   7.5  10.3  -1.7 99.0 99.00
2007 01 03 12 00 271  5.6  8.1  0.84  4.35  3.85 999 1029.3   7.8  10.3  -1.2 99.0 99.00
2007 01 03 13 00 270  5.1  6.1  0.78  4.35  3.89 999 1029.3   7.9  10.3  -1.5 99.0 99.00
2007 01 03 14 00 249  5.2  6.5  0.70  4.17  3.71 999 1029.3   8.3  10.3  -0.2 99.0 99.00
2007 01 03 15 00 240  5.7  6.7  0.67  4.55  3.88 999 1029.0   8.7  10.4   0.7 99.0 99.00
2007 01 03 16 00 230  8.8 10.3  0.72  8.33  3.61 999 1028.0   8.9  10.4   1.7 99.0 99.00
2007 01 03 17 00 240 11.4 13.4  1.02  3.57  3.63 999 1027.0   9.1  10.4   2.4 99.0 99.00
2007 01 03 18 00 236 11.8 14.1  1.29  4.55  3.89 999 1025.7   9.3  10.4   3.1 99.0 99.00
2007 01 03 19 00 239 11.5 13.8  1.62  5.00  4.35 999 1025.2   9.4  10.4   3.6 99.0 99.00
2007 01 03 20 00 236 11.5 13.9  1.92  5.56  4.75 999 1024.7   9.6  10.4   4.5 99.0 99.00
2007 01 03 21 00 239 11.5 15.0  1.94  5.56  4.82 999 1024.3  10.0  10.4   4.9 99.0 99.00
2007 01 03 22 00 239 12.4 15.2  2.33  5.88  5.03 999 1023.8  10.0  10.4   4.1 99.0 99.00
2007 01 03 23 00 233 12.6 15.1  2.49  6.25  5.21 999 1023.5  10.2  10.3   5.0 99.0 99.00
2007 01 04 00 00 234 12.9 15.4  2.52  6.67  5.27 999 1023.4  10.3  10.3   5.6 99.0 99.00
2007 01 04 01 00 239 11.3 14.7  2.50  7.14  5.28 999 1023.6  10.4  10.3   6.1 99.0 99.00
2007 01 04 02 00 242 12.0 14.7  2.51  7.14  5.32 999 1023.4  10.4  10.4   6.2 99.0 99.00
2007 01 04 03 00 245 12.0 14.2  2.46  7.14  5.27 999 1023.4  10.4  10.4   6.1 99.0 99.00
2007 01 04 04 00 248 11.8 14.3  2.38  7.14  5.36 999 1023.2  10.4  10.4   6.1 99.0 99.00
2007 01 04 05 00 250 10.7 12.9  2.42  7.14  5.33 999 1022.9  10.5  10.3   5.8 99.0 99.00
2007 01 04 06 00 250 11.8 14.7 99.00 99.00 99.00 999 1022.1  10.5  10.4   5.8 99.0 99.00
2007 01 04 07 00 252 10.9 13.2  2.17  7.14  5.21 999 1022.4  10.5  10.4   6.2 99.0 99.00
2007 01 04 08 00 255  9.0 11.1  2.28  7.14  5.45 999 1022.8  10.3  10.4   6.1 99.0 99.00
2007 01 04 09 00 250  9.3 11.0 99.00 99.00 99.00 999 1022.6  10.3  10.4   6.1 99.0 99.00
2007 01 04 10 00 249 11.0 12.6  2.02  7.14  5.11 999 1022.7  10.4  10.4   6.0 99.0 99.00
2007 01 04 11 00 249  9.3 11.2  1.85  6.25  4.98 999 1023.1  10.4  10.4   6.4 99.0 99.00
2007 01 04 12 00 243  8.3  9.7  1.91  7.14  5.09 999 1022.8  10.7  10.4   6.5 99.0 99.00
2007 01 04 13 00 234  9.2 11.3  1.96  7.69  4.99 999 1022.5  10.9  10.4   8.1 99.0 99.00
2007 01 04 14 00 237  7.8  9.1  1.83  6.67  4.93 999 1022.6  11.1  10.5   8.3 99.0 99.00
2007 01 04 15 00 233  7.8  9.2  1.58  6.25  4.87 999 1022.9  11.2  10.5   9.1 99.0 99.00
2007 01 04 16 00 234  7.2  8.1  1.57  6.25  4.84 999 1022.4  11.5  10.5   9.6 99.0 99.00
2007 01 04 17 00 235  8.0  9.4  1.45  6.67  4.69 999 1021.5  11.5  10.5   9.9 99.0 99.00
2007 01 04 18 00 230  8.6 10.1  1.44  7.14  4.58 999 1020.5  11.5  10.5  10.1 99.0 99.00
2007 01 04 19 00 226  8.9 10.6  1.43  6.25  4.47 999 1020.0  11.6  10.5   9.8 99.0 99.00
2007 01 04 20 00 222  7.8 10.1  1.38  6.25  4.62 999 1019.7  11.5  10.5  10.0 99.0 99.00
2007 01 04 21 00 233  9.0 10.7  1.47  5.56  4.61 999 1019.7  11.6  10.5  10.0 99.0 99.00
2007 01 04 22 00 235  7.7  9.3  1.41  5.26  4.58 999 1020.0  11.4  10.5   9.8 99.0 99.00
2007 01 04 23 00 234  8.5  9.8  1.43  6.25  4.61 999 1020.0  11.5  10.4   9.7 99.0 99.00
2007 01 05 00 00 233  7.7  9.3  1.49  5.88  4.65 999 1020.4  11.5  10.4   9.9 99.0 99.00
2007 01 05 01 00 234  7.1  8.2  1.40  6.25  4.65 999 1020.3  11.3  10.4   9.8 99.0 99.00
2007 01 05 02 00 239  7.1  8.5  1.26  5.88  4.59 999 1020.2  11.4  10.4   9.9 99.0 99.00
2007 01 05 03 00 230  7.1  8.2  1.27  6.25  4.48 999 1019.8  11.4  10.4   9.9 99.0 99.00
2007 01 05 04 00 228  5.9  7.0  1.30  6.25  4.59 999 1019.7  11.3  10.4   9.9 99.0 99.00
2007 01 05 05 00 220  5.9  7.0  1.21  5.88  4.52 999 1018.8  11.5  10.4   9.9 99.0 99.00
2007 01 05 06 00 226  7.5  8.5  1.24  5.88  4.52 999 1017.8  11.7  10.4  10.0 99.0 99.00
2007 01 05 07 00 217  6.1  7.3  1.10  5.88  4.46 999 1017.8  11.5  10.4  10.1 99.0 99.00
2007 01 05 08 00 227  9.2 10.5  1.08  5.88  4.30 999 1017.3  12.5  10.4  10.4 99.0 99.00
2007 01 05 09 00 215  7.9  9.1  1.11  5.88  4.22 999 1016.8  12.3  10.4  10.3 99.0 99.00
2007 01 05 10 00 219  7.6  8.9  1.13  5.88  4.19 999 1016.7  12.4  10.4  10.4 99.0 99.00
2007 01 05 11 00 218  7.6  8.5  1.19  5.88  4.26 999 1016.9  12.4  10.5  10.6 99.0 99.00
2007 01 05 12 00 211  8.4 10.2  1.20  5.56  4.22 999 1016.8  12.5  10.5  10.8 99.0 99.00
2007 01 05 13 00 205  8.5  9.8  1.22  5.56  4.17 999 1016.6  12.4  10.5  10.8 99.0 99.00
2007 01 05 14 00 211  8.5  9.8  1.28  5.26  4.16 999 1016.8  12.7  10.6  11.0 99.0 99.00
2007 01 05 15 00 204  9.8 11.3 99.00 99.00 99.00 999 1016.0  13.0  10.6  11.1 99.0 99.00
