#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2019 06 01 00 00 183  4.6  5.6 99.00 99.00 99.00 999 1008.4  19.1  18.7  17.7 99.0 99.00 
2019 06 01 00 10 176  4.5  5.5 99.00 99.00 99.00 999 1008.4  19.0 999.0  17.4 99.0 99.00 
2019 06 01 00 20 182  5.4  6.4 99.00 99.00 99.00 999 1008.6  19.0  18.6  17.4 99.0 99.00 
2019 06 01 00 30 182  5.3  6.1 99.00 99.00 99.00 999 1008.6  19.0  18.6  17.2 99.0 99.00 
2019 06 01 00 40 186  5.1  6.0  0.51  5.88  4.26 168 1008.7  19.1  18.6  17.2 99.0 99.00 
2019 06 01 00 50 193  4.9  5.6 99.00 99.00 99.00 999 1008.7  18.9  18.5  17.1 99.0 99.00 
2019 06 01 01 00 195  5.5  9.5 99.00 99.00 99.00 999 1008.8  19.1  18.4  16.9 99.0 99.00 
2019 06 01 01 10 195  4.6  5.3 99.00 99.00 99.00 999 1009.0  18.9  18.3  16.8 99.0 99.00 
2019 06 01 01 20 196  4.6  5.5 99.00 99.00 99.00 999 1009.1  18.9  18.2  16.9 99.0 99.00 
2019 06 01 01 30 201  4.4  5.3 99.00 99.00 99.00 999 1009.0  18.7  17.9  16.9 99.0 99.00 
2019 06 01 01 40 204  4.5  5.3  0.64  5.88  4.58 170 1009.1  18.6  18.0  16.9 99.0 99.00 
2019 06 01 01 50 204  4.5  5.4 99.00 99.00 99.00 999 1009.1  18.5  17.8  16.8 99.0 99.00 
2019 06 01 02 00 204  4.2  5.1 99.00 99.00 99.00 999 1009.4  18.3  17.6  16.8 99.0 99.00 
2019 06 01 02 10 203  4.4  5.1 99.00 99.00 99.00 999 1009.4  18.3  17.5  16.9 99.0 99.00 
2019 06 01 02 20 203  4.9  6.0 99.00 99.00 99.00 999 1009.3  18.3  17.5  16.9 99.0 99.00 
2019 06 01 02 30 202  4.9  5.6 99.00 99.00 99.00 999 1009.4  18.4  17.3  16.9 99.0 99.00 
2019 06 01 02 40 200  4.5  5.1  0.66  6.25  4.71 164 1009.3  18.2  17.3  16.8 99.0 99.00 
2019 06 01 02 50 195  4.3  6.2 99.00 99.00 99.00 999 1009.2  18.1  17.2  16.8 99.0 99.00 
2019 06 01 03 00 193  4.4  6.2 99.00 99.00 99.00 999 1009.1  18.2  17.0  16.9 99.0 99.00 
2019 06 01 03 10 191  4.2  5.0 99.00 99.00 99.00 999 1009.2  18.0  17.2  16.8 99.0 99.00 
2019 06 01 03 20 190  4.5  5.4 99.00 99.00 99.00 999 1009.1  17.9  17.3  16.8 99.0 99.00 
2019 06 01 03 30 192  4.9  5.7 99.00 99.00 99.00 999 1009.1  17.9  17.5  16.9 99.0 99.00 
2019 06 01 03 40 198  4.9  5.6  0.68  7.14  4.73 160 1009.3  18.0  17.4  17.0 99.0 99.00 
2019 06 01 03 50 201  4.7  5.5 99.00 99.00 99.00 999 1009.4  18.0  17.6  17.0 99.0 99.00 
2019 06 01 04 00 205  4.6  5.5 99.00 99.00 99.00 999 1009.3  18.0  17.4  17.1 99.0 99.00 
2019 06 01 04 10 205  4.6  5.5 99.00 99.00 99.00 999 1009.5  18.0  17.5  17.1 99.0 99.00 
2019 06 01 04 20 211  4.2  5.0 99.00 99.00 99.00 999 1009.5  18.0  17.7  17.1 99.0 99.00 
2019 06 01 04 30 228  4.0  4.7 99.00 99.00 99.00 999 1009.5  18.0  17.6  17.2 99.0 99.00 
2019 06 01 04 40 233  3.9  4.4  0.70  7.14  5.04 167 1009.4  18.1  17.5  17.3 99.0 99.00 
2019 06 01 04 50 231  3.6  4.3 99.00 99.00 99.00 999 1009.4  18.1  17.4  17.3 99.0 99.00 
2019 06 01 05 00 226  3.2  3.9 99.00 99.00 99.00 999 1009.3  18.1  17.3  17.4 99.0 99.00 
2019 06 01 05 10 247  2.3  3.1 99.00 99.00 99.00 999 1009.0  18.0  17.3  17.3 99.0 99.00 
2019 06 01 05 20 259  1.6  2.1 99.00 99.00 99.00 999 1008.8  18.0  17.2  17.3 99.0 99.00 
2019 06 01 05 30 268  2.1  2.5 99.00 99.00 99.00 999 1008.8  18.1  17.1  17.4 99.0 99.00 
2019 06 01 05 40 274  1.9  2.3  0.69  7.14  5.15 163 1008.7  18.0  17.1  17.3 99.0 99.00 
2019 06 01 05 50 267  1.8  2.3 99.00 99.00 99.00 999 1008.4  18.0  17.1  17.3 99.0 99.00 
2019 06 01 06 00 288  2.0  2.5 99.00 99.00 99.00 999 1008.3  18.0  17.1  17.3 99.0 99.00 
2019 06 01 06 10 294  1.6  2.3 99.00 99.00 99.00 999 1008.2  17.8  17.1  17.1 99.0 99.00 
2019 06 01 06 20 299  1.6  2.2 99.00 99.00 99.00 999 1008.2  17.8  17.1  17.1 99.0 99.00 
2019 06 01 06 30 288  1.8  2.4 99.00 99.00 99.00 999 1008.2  18.0  17.2  17.2 99.0 99.00 
2019 06 01 06 40 298  2.3  2.7 99.00 99.00 99.00 999 1007.9  18.2  17.1  17.2 99.0 99.00 
2019 06 01 06 50 306  1.6  2.6 99.00 99.00 99.00 999 1008.2  18.2  17.1  17.0 99.0 99.00 
2019 06 01 07 00 276  0.9  1.5 99.00 99.00 99.00 999 1008.3  18.1  17.1  16.8 99.0 99.00 
2019 06 01 07 10 269  0.7  1.1 99.00 99.00 99.00 999 1008.4  18.0  17.0  16.7 99.0 99.00 
2019 06 01 07 20 277  0.5  0.8 99.00 99.00 99.00 999 1008.4  18.0  17.0  16.6 99.0 99.00 
2019 06 01 07 30 204  0.5  1.3 99.00 99.00 99.00 999 1008.5  17.9  17.0  16.5 99.0 99.00 
2019 06 01 07 40 166  0.9  1.2  0.61  7.69  5.49 168 1008.6  18.0  16.9  16.6 99.0 99.00 
2019 06 01 07 50 196  0.7  1.0 99.00 99.00 99.00 999 1008.6  18.0  16.9  16.5 99.0 99.00 
2019 06 01 08 00 242  0.4  0.7 99.00 99.00 99.00 999 1008.7  18.0  16.8  16.5 99.0 99.00 
2019 06 01 08 10 308  0.4  0.7 99.00 99.00 99.00 999 1008.5  17.9  16.9  16.3 99.0 99.00 
2019 06 01 08 20  15  0.9  2.2 99.00 99.00 99.00 999 1008.4  17.7  16.8  16.2 99.0 99.00 
2019 06 01 08 30  23  1.8  2.4 99.00 99.00 99.00 999 1008.5  17.6  16.9  16.1 99.0 99.00 
2019 06 01 08 40   4  1.8  2.4  0.63  7.14  5.54 174 1008.7  17.6  16.9  16.1 99.0 99.00 
2019 06 01 08 50   2  0.6  1.7 99.00 99.00 99.00 999 1009.0  17.6  16.9  16.1 99.0 99.00 
2019 06 01 09 00 138  1.3  2.6 99.00 99.00 99.00 999 1009.1  17.5  16.9  16.1 99.0 99.00 
2019 06 01 09 10  49  1.1  2.1 99.00 99.00 99.00 999 1009.2  17.6  16.9  16.2 99.0 99.00 
2019 06 01 09 20  46  2.0  2.5 99.00 99.00 99.00 999 1009.3  17.6  17.0  16.1 99.0 99.00 
2019 06 01 09 30  47  2.0  2.5 99.00 99.00 99.00 999 1009.4  17.6  17.0  16.2 99.0 99.00 
