#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2013 01 01 00 00 239 12.8 14.4 99.00 99.00 99.00 999 1012.9   3.7 999.0 999.0 99.0 99.00
2013 01 01 01 00 238 11.7 13.6 99.00 99.00 99.00 999 1011.7   3.9 999.0 999.0 99.0 99.00
2013 01 01 02 00 257 13.1 15.6 99.00 99.00 99.00 999 1010.7   4.7 999.0 999.0 99.0 99.00
2013 01 01 03 00 257 17.1 18.6 99.00 99.00 99.00 999 1009.9   4.6 999.0 999.0 99.0 99.00
2013 01 01 04 00 267 12.4 13.8 99.00 99.00 99.00 999 1009.7   4.2 999.0 999.0 99.0 99.00
2013 01 01 05 00 257 12.7 14.4 99.00 99.00 99.00 999 1009.4   4.6 999.0 999.0 99.0 99.00
2013 01 01 06 00 256 13.5 14.5 99.00 99.00 99.00 999 1008.9   4.8 999.0 999.0 99.0 99.00
2013 01 01 07 00 268 13.4 14.8 99.00 99.00 99.00 999 1008.9   4.5 999.0 999.0 99.0 99.00
2013 01 01 08 00 270 12.1 13.6 99.00 99.00 99.00 999 1008.6   4.3 999.0 999.0 99.0 99.00
2013 01 01 09 00 265 11.2 12.0 99.00 99.00 99.00 999 1008.5   3.9 999.0 999.0 99.0 99.00
2013 01 01 10 00 259 13.2 14.4 99.00 99.00 99.00 999 1008.8   4.1 999.0 999.0 99.0 99.00
2013 01 01 11 00 262 14.1 15.3 99.00 99.00 99.00 999 1009.0   4.2 999.0 999.0 99.0 99.00
2013 01 01 12 00 259 13.1 14.8 99.00 99.00 99.00 999 1009.4   4.1 999.0 999.0 99.0 99.00
2013 01 01 13 00 266 12.7 13.7 99.00 99.00 99.00 999 1009.2   4.3 999.0 999.0 99.0 99.00
2013 01 01 14 00 263 13.3 14.9 99.00 99.00 99.00 999 1009.5   4.4 999.0 999.0 99.0 99.00
2013 01 01 15 00 273 11.8 13.7 99.00 99.00 99.00 999 1009.5   4.0 999.0 999.0 99.0 99.00
2013 01 01 16 00 283 13.1 14.8 99.00 99.00 99.00 999 1009.3   3.6 999.0 999.0 99.0 99.00
2013 01 01 17 00 274 12.5 13.6 99.00 99.00 99.00 999 1008.8   3.1 999.0 999.0 99.0 99.00
2013 01 01 18 00 283 12.6 13.6 99.00 99.00 99.00 999 1008.1   3.0 999.0 999.0 99.0 99.00
2013 01 01 19 00 297 10.7 12.0 99.00 99.00 99.00 999 1008.4   2.6 999.0 999.0 99.0 99.00
2013 01 01 20 00 291 12.0 13.1 99.00 99.00 99.00 999 1008.5   2.5 999.0 999.0 99.0 99.00
2013 01 01 21 00 301 10.8 12.1 99.00 99.00 99.00 999 1008.7   2.1 999.0 999.0 99.0 99.00
2013 01 01 22 00 298 11.4 13.3 99.00 99.00 99.00 999 1009.8   1.4 999.0 999.0 99.0 99.00
2013 01 01 23 00 291 13.7 14.7 99.00 99.00 99.00 999 1010.6   0.5 999.0 999.0 99.0 99.00
2013 01 02 00 00 302 14.9 16.4 99.00 99.00 99.00 999 1011.6  -0.3 999.0 999.0 99.0 99.00
2013 01 02 01 00 306 11.5 12.9 99.00 99.00 99.00 999 1012.2  -0.7 999.0 999.0 99.0 99.00
2013 01 02 02 00 305 11.7 13.4 99.00 99.00 99.00 999 1012.6  -1.1 999.0 999.0 99.0 99.00
2013 01 02 03 00 302 10.9 12.5 99.00 99.00 99.00 999 1013.2  -1.7 999.0 999.0 99.0 99.00
2013 01 02 04 00 302 10.8 11.8 99.00 99.00 99.00 999 1013.6  -2.5 999.0 999.0 99.0 99.00
