#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2019 11 01 00 00 182 14.2 15.7 99.00 99.00 99.00 999 1009.0  18.4 999.0 999.0 99.0 99.00
2019 11 01 01 00 181 14.1 15.0 99.00 99.00 99.00 999 1008.3  18.5 999.0 999.0 99.0 99.00
2019 11 01 02 00 181 14.9 16.1 99.00 99.00 99.00 999 1006.8  18.9 999.0 999.0 99.0 99.00
2019 11 01 03 00 188 15.1 17.0 99.00 99.00 99.00 999 1006.2  19.2 999.0 999.0 99.0 99.00
2019 11 01 04 00 187 17.4 20.2 99.00 99.00 99.00 999 1004.7  19.5 999.0 999.0 99.0 99.00
2019 11 01 05 00 183 19.1 21.0 99.00 99.00 99.00 999 1002.7  19.6 999.0 999.0 99.0 99.00
2019 11 01 06 00 188 19.4 22.8 99.00 99.00 99.00 999 1001.5  19.7 999.0 999.0 99.0 99.00
2019 11 01 07 00 196 18.1 19.5 99.00 99.00 99.00 999 1000.7  19.3 999.0 999.0 99.0 99.00
2019 11 01 08 00 189 21.1 24.2 99.00 99.00 99.00 999  998.4  19.9 999.0 999.0 99.0 99.00
2019 11 01 09 00 262 22.4 26.6 99.00 99.00 99.00 999 1002.5  15.3 999.0 999.0 99.0 99.00
2019 11 01 10 00 251 19.0 21.9 99.00 99.00 99.00 999 1005.0  12.7 999.0 999.0 99.0 99.00
2019 11 01 11 00 257 18.7 21.3 99.00 99.00 99.00 999 1006.4  13.0 999.0 999.0 99.0 99.00
2019 11 01 12 00 269 18.3 21.0 99.00 99.00 99.00 999 1008.6  11.9 999.0 999.0 99.0 99.00
2019 11 01 13 00 267 16.9 18.1 99.00 99.00 99.00 999 1010.8  10.7 999.0 999.0 99.0 99.00
2019 11 01 14 00 265 14.7 16.2 99.00 99.00 99.00 999 1012.2  10.4 999.0 999.0 99.0 99.00
2019 11 01 15 00 258 13.5 14.6 99.00 99.00 99.00 999 1012.8  10.4 999.0 999.0 99.0 99.00
2019 11 01 16 00 261 11.5 12.5 99.00 99.00 99.00 999 1013.1  10.8 999.0 999.0 99.0 99.00
2019 11 01 17 00 265 12.4 14.2 99.00 99.00 99.00 999 1013.6  11.6 999.0 999.0 99.0 99.00
2019 11 01 18 00 270 11.0 13.0 99.00 99.00 99.00 999 1014.4  12.4 999.0 999.0 99.0 99.00
2019 11 01 19 00 270  9.0 10.2 99.00 99.00 99.00 999 1015.5  13.2 999.0 999.0 99.0 99.00
2019 11 01 20 00 271 10.3 11.2 99.00 99.00 99.00 999 1016.5  13.6 999.0 999.0 99.0 99.00
2019 11 01 21 00 290 10.7 11.4 99.00 99.00 99.00 999 1017.4  13.7 999.0 999.0 99.0 99.00
2019 11 01 22 00 308 10.9 11.8 99.00 99.00 99.00 999 1018.5  13.3 999.0 999.0 99.0 99.00
2019 11 01 23 00 316 11.8 12.9 99.00 99.00 99.00 999 1019.9  11.9 999.0 999.0 99.0 99.00
2019 11 02 00 00 318 10.7 11.9 99.00 99.00 99.00 999 1021.3  10.9 999.0 999.0 99.0 99.00
2019 11 02 01 00 335 10.6 12.0 99.00 99.00 99.00 999 1021.8   9.8 999.0 999.0 99.0 99.00
2019 11 02 02 00 330  9.8 10.9 99.00 99.00 99.00 999 1022.9   8.7 999.0 999.0 99.0 99.00
2019 11 02 03 00 335 11.2 12.5 99.00 99.00 99.00 999 1022.6   7.9 999.0 999.0 99.0 99.00
2019 11 02 04 00 330  9.8 10.8 99.00 99.00 99.00 999 1022.7   7.4 999.0 999.0 99.0 99.00
2019 11 02 05 00 339 10.8 12.6 99.00 99.00 99.00 999 1023.0   7.1 999.0 999.0 99.0 99.00
2019 11 02 06 00 335  9.6 10.8 99.00 99.00 99.00 999 1023.1   6.9 999.0 999.0 99.0 99.00
2019 11 02 07 00 346  8.1  9.1 99.00 99.00 99.00 999 1023.3   6.6 999.0 999.0 99.0 99.00
2019 11 02 08 00 342  6.8  7.8 99.00 99.00 99.00 999 1023.4   6.4 999.0 999.0 99.0 99.00
2019 11 02 09 00   1  7.5  8.2 99.00 99.00 99.00 999 1024.1   5.9 999.0 999.0 99.0 99.00
2019 11 02 10 00   3  6.6  7.3 99.00 99.00 99.00 999 1024.2   5.9 999.0 999.0 99.0 99.00
2019 11 02 11 00   3  6.1  6.8 99.00 99.00 99.00 999 1024.1   5.6 999.0 999.0 99.0 99.00
2019 11 02 12 00   1  4.5  5.6 99.00 99.00 99.00 999 1024.6   5.6 999.0 999.0 99.0 99.00
2019 11 02 13 00   0  3.6  4.7 99.00 99.00 99.00 999 1024.9   5.8 999.0 999.0 99.0 99.00
2019 11 02 14 00  11  3.3  4.4 99.00 99.00 99.00 999 1024.4   5.7 999.0 999.0 99.0 99.00
2019 11 02 15 00   4  1.4  1.7 99.00 99.00 99.00 999 1024.4   6.6 999.0 999.0 99.0 99.00
2019 11 02 16 00   0  0.0  0.0 99.00 99.00 99.00 999 1023.5   8.0 999.0 999.0 99.0 99.00
2019 11 02 17 00 269  0.6  0.9 99.00 99.00 99.00 999 1022.5   7.7 999.0 999.0 99.0 99.00
2019 11 02 18 00 194  0.2  0.7 99.00 99.00 99.00 999 1021.5   8.1 999.0 999.0 99.0 99.00
2019 11 02 19 00 203  1.6  2.2 99.00 99.00 99.00 999 1020.9   7.7 999.0 999.0 99.0 99.00
2019 11 02 20 00 164  0.4  0.8 99.00 99.00 99.00 999 1020.0   8.5 999.0 999.0 99.0 99.00
2019 11 02 21 00 220  0.8  1.2 99.00 99.00 99.00 999 1019.4   8.4 999.0 999.0 99.0 99.00
2019 11 02 22 00 152  2.1  2.4 99.00 99.00 99.00 999 1019.3   8.2 999.0 999.0 99.0 99.00
2019 11 02 23 00 182  2.4  3.1 99.00 99.00 99.00 999 1018.9   8.7 999.0 999.0 99.0 99.00
2019 11 03 00 00 186  1.8  2.3 99.00 99.00 99.00 999 1018.3   9.1 999.0 999.0 99.0 99.00
2019 11 03 01 00 162  1.6  2.0 99.00 99.00 99.00 999 1017.8   9.5 999.0 999.0 99.0 99.00
2019 11 03 02 00 187  0.6  0.9 99.00 99.00 99.00 999 1017.6   9.7 999.0 999.0 99.0 99.00
2019 11 03 03 00 224  1.0  1.2 99.00 99.00 99.00 999 1017.3  10.0 999.0 999.0 99.0 99.00
2019 11 03 04 00 275  4.5  6.0 99.00 99.00 99.00 999 1016.7  10.4 999.0 999.0 99.0 99.00
2019 11 03 05 00 292  6.4  7.9 99.00 99.00 99.00 999 1016.2  10.7 999.0 999.0 99.0 99.00
2019 11 03 06 00 306  8.3  9.5 99.00 99.00 99.00 999 1015.6  10.2 999.0 999.0 99.0 99.00
2019 11 03 07 00 322  9.2 11.4 99.00 99.00 99.00 999 1015.3   9.7 999.0 999.0 99.0 99.00
2019 11 03 08 00 315  9.2 10.0 99.00 99.00 99.00 999 1015.2   9.8 999.0 999.0 99.0 99.00
2019 11 03 09 00 297  7.3  8.2 99.00 99.00 99.00 999 1015.8   9.6 999.0 999.0 99.0 99.00
2019 11 03 10 00 313  6.6  7.4 99.00 99.00 99.00 999 1016.2   8.7 999.0 999.0 99.0 99.00
2019 11 03 11 00 318  6.0  6.6 99.00 99.00 99.00 999 1016.3   8.8 999.0 999.0 99.0 99.00
2019 11 03 12 00 314  4.9  5.5 99.00 99.00 99.00 999 1016.8   9.4 999.0 999.0 99.0 99.00
2019 11 03 13 00 306  6.7  7.3 99.00 99.00 99.00 999 1017.4   9.9 999.0 999.0 99.0 99.00
2019 11 03 14 00 306  7.7  8.2 99.00 99.00 99.00 999 1018.0   9.7 999.0 999.0 99.0 99.00
2019 11 03 15 00 298  6.7  8.0 99.00 99.00 99.00 999 1018.4  10.3 999.0 999.0 99.0 99.00
2019 11 03 16 00 268  5.2  6.4 99.00 99.00 99.00 999 1018.4   9.7 999.0 999.0 99.0 99.00
