YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2006 01 03 04 00  76  9.6 10.3  0.60  7.14  3.28 999 1020.1   1.7   6.1   1.4 99.0 99.00
2006 01 03 05 00  78 10.2 10.8  0.67  7.69  3.37 999 1019.3   1.8   6.1   1.5 99.0 99.00
2006 01 03 06 00  79 11.0 11.6  0.72  2.86  3.18 999 1018.9   2.0   6.0   1.7 99.0 99.00
2006 01 03 07 00  79 11.2 12.1  0.85  3.03  3.39 999 1018.7   2.2   5.9   1.7 99.0 99.00
2006 01 03 08 00  63 12.2 13.5  0.88  3.70  3.35 999 1017.2   2.2   5.9   2.0 99.0 99.00
2006 01 03 09 00  67 12.7 15.1  0.99  3.57  3.38 999 1015.8   2.6   6.0   2.4 99.0 99.00
2006 01 03 10 00  64 13.6 15.1  1.18  3.70  3.74 999 1014.8   3.0   6.1   2.9 99.0 99.00
2006 01 03 11 00  67 13.8 15.8  1.44  4.76  3.94 999 1014.3   3.0   6.1   2.8 99.0 99.00
2006 01 03 12 00  66 16.6 18.6  1.67  4.55  4.11 999 1012.8   2.9   6.1   2.7 99.0 99.00
2006 01 03 13 00  63 15.5 17.5  1.87  5.00  4.42 999 1013.0   3.0   6.1   2.9 99.0 99.00
2006 01 03 14 00  51 12.6 14.5  1.66  5.26  4.44 999 1013.8   2.9   6.2   2.8 99.0 99.00
2006 01 03 15 00  49 12.7 14.2  1.53  5.00  4.40 999 1013.3   2.7   6.2   2.6 99.0 99.00
2006 01 03 16 00  44 15.6 16.7  1.71  4.76  4.38 999 1011.8   2.8   6.2   2.6 99.0 99.00
2006 01 03 17 00  46 15.9 17.5  1.64  4.76  4.22 999 1011.5   2.8   6.2   2.6 99.0 99.00
2006 01 03 18 00  37 15.9 18.5  1.63  4.35  4.04 999 1011.2   2.5   6.2   2.4 99.0 99.00
2006 01 03 19 00  33 17.6 19.8  1.66  4.35  4.18 999 1011.3   1.7   6.1   1.6 99.0 99.00
2006 01 03 20 00  31 18.0 20.0  1.72  4.55  4.18 999 1011.8   1.3   6.1   1.2 99.0 99.00
2006 01 03 21 00  35 17.7 20.3  1.77  4.76  4.25 999 1011.9   1.4   6.0   1.2 99.0 99.00
2006 01 03 22 00  32 18.0 19.9  1.84  5.00  4.27 999 1012.3   1.2   5.7   1.1 99.0 99.00
2006 01 03 23 00  30 16.8 19.3  1.96 10.00  4.80 999 1012.6   1.4   5.6   1.3 99.0 99.00
2006 01 04 00 00  23 15.2 17.1  1.90 10.81  4.84 999 1013.1   2.2   5.6   1.3 99.0 99.00
2006 01 04 01 00  23 16.0 17.6  1.83 10.81  5.15 999 1013.5   2.9   5.7   1.1 99.0 99.00
2006 01 04 02 00  23 15.4 17.2  1.90 10.00  5.54 999 1013.8   3.0   6.2   1.3 99.0 99.00
2006 01 04 03 00  24 15.0 16.4  1.78 10.81  5.20 999 1014.1   3.1   6.3   0.1 99.0 99.00
2006 01 04 04 00  25 14.9 16.4  1.66 10.81  4.90 999 1014.2   3.0   6.2  -0.3 99.0 99.00
2006 01 04 05 00  22 15.9 17.0  1.59 10.81  4.65 999 1013.8   2.9   6.2  -0.4 99.0 99.00
2006 01 04 06 00  25 15.5 16.3  1.63 11.43  4.68 999 1013.7   3.0   6.2  -0.5 99.0 99.00
2006 01 04 07 00  20 14.1 15.3  1.61 10.81  4.45 999 1014.2   2.9   5.9  -0.6 99.0 99.00
