#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2009 01 01 00 00 315 17.6 19.2 99.00 99.00 99.00 999 1003.1  -5.5   5.4 999.0 99.0 99.00
2009 01 01 01 00 320 18.5 20.1 99.00 99.00 99.00 999 1003.9  -6.1   5.3 999.0 99.0 99.00
2009 01 01 02 00 327 20.0 23.7 99.00 99.00 99.00 999 1005.2  -8.1   5.3 999.0 99.0 99.00
2009 01 01 03 00 322 18.7 21.0 99.00 99.00 99.00 999 1006.5  -9.2   5.3 999.0 99.0 99.00
2009 01 01 04 00 316 16.8 19.6 99.00 99.00 99.00 999 1007.6 -10.2   5.3 999.0 99.0 99.00
2009 01 01 05 00 325 19.8 23.8 99.00 99.00 99.00 999 1007.6 -10.6   5.2 999.0 99.0 99.00
2009 01 01 06 00 315 20.4 22.2 99.00 99.00 99.00 999 1008.4 -10.9   5.0 999.0 99.0 99.00
2009 01 01 07 00 328 15.6 17.3 99.00 99.00 99.00 999 1009.8 -11.0   4.9 999.0 99.0 99.00
2009 01 01 08 00 320 19.6 21.4 99.00 99.00 99.00 999 1010.9 -11.5   4.9 999.0 99.0 99.00
2009 01 01 09 00 314 16.0 18.8 99.00 99.00 99.00 999 1012.1 -11.4   4.9 999.0 99.0 99.00
2009 01 01 10 00 312 16.9 19.2 99.00 99.00 99.00 999 1013.4 -12.1   4.8 999.0 99.0 99.00
2009 01 01 11 00 320 17.0 19.6 99.00 99.00 99.00 999 1014.4 -12.3   4.8 999.0 99.0 99.00
2009 01 01 12 00 314 16.5 18.5 99.00 99.00 99.00 999 1016.1 -12.3   4.7 999.0 99.0 99.00
2009 01 01 13 00 310 14.2 16.7 99.00 99.00 99.00 999 1017.6 -12.0   4.8 999.0 99.0 99.00
2009 01 01 14 00 324 15.8 18.9 99.00 99.00 99.00 999 1017.9 -11.9   5.2 999.0 99.0 99.00
2009 01 01 15 00 310 15.9 17.6 99.00 99.00 99.00 999 1018.7 -11.0   5.3 999.0 99.0 99.00
2009 01 01 16 00 306 14.8 17.5 99.00 99.00 99.00 999 1018.3  -9.7   5.4 999.0 99.0 99.00
2009 01 01 17 00 301 15.5 18.1 99.00 99.00 99.00 999 1017.7  -8.9   5.5 999.0 99.0 99.00
2009 01 01 18 00 311 14.0 15.8 99.00 99.00 99.00 999 1017.7  -7.5   5.5 999.0 99.0 99.00
2009 01 01 19 00 312 12.5 15.3 99.00 99.00 99.00 999 1018.1  -6.7   5.5 999.0 99.0 99.00
2009 01 01 20 00 303 11.3 13.7 99.00 99.00 99.00 999 1018.8  -6.3   5.6 999.0 99.0 99.00
2009 01 01 21 00 302 14.6 16.2 99.00 99.00 99.00 999 1019.3 999.0   5.5 999.0 99.0 99.00
2009 01 01 22 00 298 17.6 19.6 99.00 99.00 99.00 999 1019.5  -6.1   5.5 999.0 99.0 99.00
2009 01 01 23 00 302 16.3 18.9 99.00 99.00 99.00 999 1020.0  -6.3   5.4 999.0 99.0 99.00
2009 01 02 00 00 312 16.2 17.8 99.00 99.00 99.00 999 1020.3  -6.3   5.3 999.0 99.0 99.00
2009 01 02 01 00 313 13.4 15.4 99.00 99.00 99.00 999 1020.8  -6.4   5.3 999.0 99.0 99.00
2009 01 02 02 00 318 11.3 12.5 99.00 99.00 99.00 999 1021.2  -6.1   5.4 999.0 99.0 99.00
2009 01 02 03 00 313 11.9 12.8 99.00 99.00 99.00 999 1021.1  -6.2   5.5 999.0 99.0 99.00
2009 01 02 04 00 320  9.2 10.0 99.00 99.00 99.00 999 1020.7  -6.2   5.8 999.0 99.0 99.00
2009 01 02 05 00 305  7.5  9.2 99.00 99.00 99.00 999 1020.7  -6.1   5.7 999.0 99.0 99.00
2009 01 02 06 00 296  7.5  8.8 99.00 99.00 99.00 999 1021.0  -6.0   5.7 999.0 99.0 99.00
2009 01 02 07 00 279  5.5  6.1 99.00 99.00 99.00 999 1020.8  -6.2   5.7 999.0 99.0 99.00
2009 01 02 08 00 262  5.7  6.4 99.00 99.00 99.00 999 1020.2  -6.1   5.7 999.0 99.0 99.00
2009 01 02 09 00 249  4.9  5.5 99.00 99.00 99.00 999 1019.4  -5.7   5.7 999.0 99.0 99.00
2009 01 02 10 00 269  5.4  6.3 99.00 99.00 99.00 999 1019.0  -5.1   5.7 999.0 99.0 99.00
2009 01 02 11 00 278  4.1  4.7 99.00 99.00 99.00 999 1018.3  -4.9   5.7 999.0 99.0 99.00
2009 01 02 12 00 265  4.8  5.6 99.00 99.00 99.00 999 1018.0  -3.4   5.7 999.0 99.0 99.00
2009 01 02 13 00 238  5.1  5.7 99.00 99.00 99.00 999 1017.5  -1.6   5.7 999.0 99.0 99.00
2009 01 02 14 00 219  8.7  9.6 99.00 99.00 99.00 999 1016.2   0.5   5.7 999.0 99.0 99.00
2009 01 02 15 00 221  9.2 10.6 99.00 99.00 99.00 999 1014.9   1.9   5.7 999.0 99.0 99.00
2009 01 02 16 00 220 12.8 14.0 99.00 99.00 99.00 999 1012.6   3.5   5.8 999.0 99.0 99.00
2009 01 02 17 00 231 12.7 13.5 99.00 99.00 99.00 999 1010.5   4.5   5.8 999.0 99.0 99.00
2009 01 02 18 00 241 15.5 17.2 99.00 99.00 99.00 999 1008.8   5.0   5.8 999.0 99.0 99.00
2009 01 02 19 00 243 15.3 16.3 99.00 99.00 99.00 999 1007.7   4.8   5.7 999.0 99.0 99.00
2009 01 02 20 00 253 13.4 15.6 99.00 99.00 99.00 999 1007.5   3.8   5.7 999.0 99.0 99.00
2009 01 02 21 00 252 14.3 15.4 99.00 99.00 99.00 999 1007.2   1.9   5.6 999.0 99.0 99.00
2009 01 02 22 00 252 12.0 12.7 99.00 99.00 99.00 999 1006.9   1.8   5.6 999.0 99.0 99.00
2009 01 02 23 00 254 12.0 13.7 99.00 99.00 99.00 999 1006.4   2.0   5.5 999.0 99.0 99.00
2009 01 03 00 00 260 12.7 13.4 99.00 99.00 99.00 999 1006.3   1.6   5.5 999.0 99.0 99.00
2009 01 03 01 00 269 11.4 12.3 99.00 99.00 99.00 999 1006.2   1.8   5.5 999.0 99.0 99.00
2009 01 03 02 00 283  9.6 10.7 99.00 99.00 99.00 999 1006.3   1.0   5.5 999.0 99.0 99.00
2009 01 03 03 00 292  9.3 10.6 99.00 99.00 99.00 999 1006.2   1.2   5.6 999.0 99.0 99.00
2009 01 03 04 00 291  9.5 10.5 99.00 99.00 99.00 999 1006.2   1.0   5.6 999.0 99.0 99.00
2009 01 03 05 00 275  9.0  9.6 99.00 99.00 99.00 999 1005.3   1.2   5.6 999.0 99.0 99.00
2009 01 03 06 00 311  6.2  6.8 99.00 99.00 99.00 999 1004.7   1.1   5.6 999.0 99.0 99.00
2009 01 03 07 00 280  9.5 10.8 99.00 99.00 99.00 999 1004.8   1.7   5.6 999.0 99.0 99.00
2009 01 03 08 00 298 12.3 13.4 99.00 99.00 99.00 999 1004.8   1.2   5.5 999.0 99.0 99.00
2009 01 03 09 00 299  9.5 10.3 99.00 99.00 99.00 999 1005.5   0.0   5.5 999.0 99.0 99.00
2009 01 03 10 00 296 15.1 17.5 99.00 99.00 99.00 999 1005.8   0.7   5.5 999.0 99.0 99.00
2009 01 03 11 00 302 15.0 17.1 99.00 99.00 99.00 999 1007.0   0.1   5.4 999.0 99.0 99.00
2009 01 03 12 00 302 14.9 16.2 99.00 99.00 99.00 999 1008.6   0.0   5.3 999.0 99.0 99.00
2009 01 03 13 00 301 15.7 16.7 99.00 99.00 99.00 999 1009.3   0.2   5.2 999.0 99.0 99.00
2009 01 03 14 00 289 14.6 16.8 99.00 99.00 99.00 999 1009.8   0.4   5.3 999.0 99.0 99.00
2009 01 03 15 00 307 15.4 19.6 99.00 99.00 99.00 999 1009.8   0.7   5.4 999.0 99.0 99.00
2009 01 03 16 00 301 17.1 18.8 99.00 99.00 99.00 999 1009.6   0.9   5.4 999.0 99.0 99.00
2009 01 03 17 00 310 17.5 19.0 99.00 99.00 99.00 999 1009.9   1.0   5.5 999.0 99.0 99.00
2009 01 03 18 00 302 13.2 14.9 99.00 99.00 99.00 999 1010.2   1.0   5.6 999.0 99.0 99.00
