#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 01 02 02 00 260  3.6  4.1  0.10 99.00 99.00 999 1007.2   9.4 999.0   8.9 99.0 99.00
2007 01 02 02 30 280  2.6  3.6 99.00 99.00 99.00 999 1006.5   9.1 999.0   8.6 99.0 99.00
2007 01 02 03 00 250  2.6  3.1  0.10 99.00 99.00 999 1006.9   9.1 999.0   8.3 99.0 99.00
2007 01 02 03 30 250  3.1  3.6 99.00 99.00 99.00 999 1007.2   8.9 999.0   8.1 99.0 99.00
2007 01 02 04 00 280  4.6  6.2  0.10 99.00 99.00 999 1007.4  10.1 999.0   7.6 99.0 99.00
2007 01 02 04 30 300  5.7  7.7 99.00 99.00 99.00 999 1007.6  10.1 999.0   7.0 99.0 99.00
2007 01 02 05 00 310  4.1  5.1  0.10 99.00 99.00 999 1007.8   9.6 999.0   6.7 99.0 99.00
2007 01 02 05 30 310  5.7  7.2 99.00 99.00 99.00 999 1008.5   9.6 999.0   6.0 99.0 99.00
2007 01 02 06 00 310  5.7  7.7  0.10 99.00 99.00 999 1009.0   9.4 999.0   5.6 99.0 99.00
2007 01 02 06 30 290  5.7  7.7 99.00 99.00 99.00 999 1009.6   9.1 999.0   5.1 99.0 99.00
2007 01 02 07 00 300  7.2  9.3  0.20 99.00 99.00 999 1010.1   9.0 999.0   4.5 99.0 99.00
2007 01 02 07 30 300  7.2  9.8 99.00 99.00 99.00 999 1010.4   8.9 999.0   4.1 99.0 99.00
2007 01 02 08 00 310  8.2 10.3  0.30  2.00 99.00 999 1010.5   8.7 999.0   3.6 99.0 99.00
2007 01 02 08 30 290  7.2  9.8 99.00 99.00 99.00 999 1010.8   8.3 999.0   4.0 99.0 99.00
2007 01 02 09 00 300  8.8 11.3  0.30  2.00 99.00 999 1011.0   8.1 999.0   3.0 99.0 99.00
2007 01 02 09 30 300  9.8 12.4 99.00 99.00 99.00 999 1011.3   7.8 999.0   2.1 99.0 99.00
2007 01 02 10 00 290  9.3 12.4  0.40  2.00 99.00 999 1012.4   7.6 999.0   2.2 99.0 99.00
2007 01 02 10 30 290  8.2 10.8 99.00 99.00 99.00 999 1013.0   7.5 999.0   1.7 99.0 99.00
2007 01 02 11 00 300  9.3 12.4  0.40  3.00 99.00 999 1013.5   7.4 999.0   1.6 99.0 99.00
2007 01 02 11 30 310 10.3 15.4 99.00 99.00 99.00 999 1014.4   7.1 999.0   0.3 99.0 99.00
2007 01 02 12 00 310 11.3 14.9  0.60  3.00 99.00 999 1015.3   6.8 999.0  -0.8 99.0 99.00
2007 01 02 12 30 310  9.8 13.9 99.00 99.00 99.00 999 1016.4   6.3 999.0  -0.7 99.0 99.00
2007 01 02 13 00 310  9.8 14.4  0.60  3.00 99.00 999 1017.1   5.8 999.0  -1.1 99.0 99.00
2007 01 02 13 30 310  9.3 14.9 99.00 99.00 99.00 999 1018.1   5.7 999.0  -1.6 99.0 99.00
2007 01 02 14 00 310  9.8 13.9  0.60  3.00 99.00 999 1018.9   5.6 999.0  -2.3 99.0 99.00
2007 01 02 14 30 310  9.8 13.4 99.00 99.00 99.00 999 1019.5   5.7 999.0  -2.8 99.0 99.00
2007 01 02 15 00 310 10.8 14.9  0.70  3.00 99.00 999 1020.0   5.7 999.0  -3.1 99.0 99.00
2007 01 02 15 30 310  8.8 11.8 99.00 99.00 99.00 999 1020.7   5.9 999.0  -3.0 99.0 99.00
2007 01 02 16 00 310  8.2 10.8  0.60  3.00 99.00 999 1020.8   6.2 999.0  -3.5 99.0 99.00
2007 01 02 16 30 310  9.3 12.4 99.00 99.00 99.00 999 1020.8   6.5 999.0  -3.9 99.0 99.00
2007 01 02 17 00 320  9.3 12.4  0.50  2.00 99.00 999 1020.8   6.6 999.0  -4.1 99.0 99.00
2007 01 02 17 30 320  9.8 12.9 99.00 99.00 99.00 999 1020.8   6.8 999.0  -4.0 99.0 99.00
2007 01 02 18 00 310  8.2 11.8  0.60  3.00 99.00 999 1021.1   7.1 999.0  -3.6 99.0 99.00
2007 01 02 18 30 300  8.8 11.8 99.00 99.00 99.00 999 1021.7   7.3 999.0  -3.2 99.0 99.00
2007 01 02 19 00 300  9.3 11.3  0.60  3.00 99.00 999 1022.2   7.3 999.0  -2.7 99.0 99.00
2007 01 02 19 30 300  8.8 11.3 99.00 99.00 99.00 999 1022.9   7.4 999.0  -2.6 99.0 99.00
2007 01 02 20 00 310  9.8 12.4  0.50  3.00 99.00 999 1023.3   7.4 999.0  -2.7 99.0 99.00
2007 01 02 20 30 310  8.8 11.3 99.00 99.00 99.00 999 1024.1   7.4 999.0  -2.4 99.0 99.00
2007 01 02 21 00 310  9.8 13.9  0.60  3.00 99.00 999 1024.5   7.2 999.0  -3.7 99.0 99.00
2007 01 02 21 30 310  9.8 12.4 99.00 99.00 99.00 999 1025.0   6.9 999.0  -3.4 99.0 99.00
2007 01 02 22 00 310  6.7  8.8  0.60  3.00 99.00 999 1025.6   6.7 999.0  -3.4 99.0 99.00
2007 01 02 22 30 300  6.2  8.8 99.00 99.00 99.00 999 1026.1   6.7 999.0  -3.2 99.0 99.00
2007 01 02 23 00 300  5.1  6.7  0.30  2.00 99.00 999 1026.4   6.6 999.0  -3.2 99.0 99.00
2007 01 02 23 30 290  5.1  7.2 99.00 99.00 99.00 999 1026.8   6.5 999.0  -2.9 99.0 99.00
2007 01 03 00 00 280  6.2  8.2  0.20 99.00 99.00 999 1027.2   6.4 999.0  -2.4 99.0 99.00
2007 01 03 00 30 270  6.7  8.2 99.00 99.00 99.00 999 1027.5   6.5 999.0  -2.0 99.0 99.00
2007 01 03 01 00 280  6.7  7.7  0.20 99.00 99.00 999 1027.7   6.4 999.0  -1.8 99.0 99.00
2007 01 03 01 30 280  6.2  7.7 99.00 99.00 99.00 999 1027.9   6.4 999.0  -2.1 99.0 99.00
2007 01 03 02 00 290  6.2  7.7  0.30  3.00 99.00 999 1028.0   6.4 999.0  -2.0 99.0 99.00
2007 01 03 02 30 280  6.2  8.2 99.00 99.00 99.00 999 1028.2   6.3 999.0  -2.1 99.0 99.00
2007 01 03 03 00 290  5.1  6.7  0.20 99.00 99.00 999 1028.4   6.0 999.0  -2.0 99.0 99.00
2007 01 03 03 30 280  5.1  6.2 99.00 99.00 99.00 999 1028.5   5.8 999.0  -2.1 99.0 99.00
2007 01 03 04 00 270  5.1  6.7  0.20 99.00 99.00 999 1028.6   5.8 999.0  -1.8 99.0 99.00
2007 01 03 04 30 270  6.7  8.2 99.00 99.00 99.00 999 1028.5   5.8 999.0  -1.7 99.0 99.00
2007 01 03 05 00 270  5.7  7.2  0.20  2.00 99.00 999 1028.6   5.8 999.0  -2.1 99.0 99.00
2007 01 03 05 30 280  4.6  5.7 99.00 99.00 99.00 999 1028.7   5.7 999.0  -2.2 99.0 99.00
2007 01 03 06 00 280  3.6  4.6  0.20 99.00 99.00 999 1028.9   5.6 999.0  -2.5 99.0 99.00
2007 01 03 06 30 260  4.1  5.1 99.00 99.00 99.00 999 1029.4   5.8 999.0  -2.9 99.0 99.00
2007 01 03 07 00 270  4.6  5.7  0.20 99.00 99.00 999 1029.8   6.0 999.0  -2.0 99.0 99.00
2007 01 03 07 30 260  4.1  5.1 99.00 99.00 99.00 999 1029.9   5.9 999.0  -2.3 99.0 99.00
2007 01 03 08 00 270  4.6  5.1  0.10 99.00 99.00 999 1029.9   5.7 999.0  -2.6 99.0 99.00
2007 01 03 08 30 270  4.6  5.7 99.00 99.00 99.00 999 1029.9   5.4 999.0  -2.6 99.0 99.00
2007 01 03 09 00 270  4.6  5.7  0.10 99.00 99.00 999 1030.0   5.3 999.0  -2.7 99.0 99.00
2007 01 03 09 30 260  4.1  4.6 99.00 99.00 99.00 999 1030.0   5.2 999.0  -2.7 99.0 99.00
2007 01 03 10 00 200  2.6  3.6  0.10 99.00 99.00 999 1030.1   4.6 999.0  -1.0 99.0 99.00
2007 01 03 10 30 230  1.5  2.1 99.00 99.00 99.00 999 1030.3   4.5 999.0  -1.5 99.0 99.00
2007 01 03 11 00 230  1.5  3.1  0.10 99.00 99.00 999 1030.3   4.0 999.0  -0.3 99.0 99.00
2007 01 03 11 30 230  2.1  3.1 99.00 99.00 99.00 999 1030.2   4.4 999.0  -0.1 99.0 99.00
2007 01 03 12 00 230  2.6  3.6  0.00 99.00 99.00 999 1030.0   4.6 999.0  -0.2 99.0 99.00
2007 01 03 12 30 240  2.6  3.6 99.00 99.00 99.00 999 1029.7   4.6 999.0  -0.3 99.0 99.00
2007 01 03 13 00 220  2.1  2.6  0.00 99.00 99.00 999 1030.1   4.2 999.0  -0.7 99.0 99.00
2007 01 03 13 30 220  2.1  2.6 99.00 99.00 99.00 999 1029.7   4.1 999.0  -1.1 99.0 99.00
2007 01 03 14 00 230  3.1  3.6  0.10 99.00 99.00 999 1029.6   4.4 999.0  -1.0 99.0 99.00
2007 01 03 14 30 230  4.1  5.1 99.00 99.00 99.00 999 1029.4   5.1 999.0  -1.3 99.0 99.00
2007 01 03 15 00 210  3.6  4.6  0.10 99.00 99.00 999 1029.2   5.0 999.0  -1.5 99.0 99.00
2007 01 03 15 30 230  4.1  6.7 99.00 99.00 99.00 999 1028.8   5.9 999.0  -1.0 99.0 99.00
2007 01 03 16 00 240  6.7  8.2  0.10 99.00 99.00 999 1028.2   6.8 999.0  -0.8 99.0 99.00
2007 01 03 16 30 240  7.2  8.8 99.00 99.00 99.00 999 1027.5   7.2 999.0  -0.7 99.0 99.00
2007 01 03 17 00 240  8.2 10.3  0.40  2.00 99.00 999 1026.8   7.4 999.0  -0.8 99.0 99.00
2007 01 03 17 30 240  7.2  9.3 99.00 99.00 99.00 999 1026.5   7.7 999.0  -0.6 99.0 99.00
2007 01 03 18 00 240  7.7  9.3  0.60  3.00 99.00 999 1025.9   7.8 999.0  -0.6 99.0 99.00
2007 01 03 18 30 240  6.2  8.2 99.00 99.00 99.00 999 1025.4   8.1 999.0   0.3 99.0 99.00
2007 01 03 19 00 240  7.7  9.8  0.40  3.00 99.00 999 1024.8   8.7 999.0   0.7 99.0 99.00
2007 01 03 19 30 240  7.2  8.2 99.00 99.00 99.00 999 1024.7   8.9 999.0   1.4 99.0 99.00
2007 01 03 20 00 230  6.2  7.7  0.50  3.00 99.00 999 1024.6   9.0 999.0   1.9 99.0 99.00
2007 01 03 20 30 230  5.1  6.2 99.00 99.00 99.00 999 1024.5   9.0 999.0   2.2 99.0 99.00
2007 01 03 21 00 230  5.1  6.2  0.30  3.00 99.00 999 1024.3   9.3 999.0   2.2 99.0 99.00
2007 01 03 21 30 230  5.7  6.2 99.00 99.00 99.00 999 1024.2   9.1 999.0   2.9 99.0 99.00
2007 01 03 22 00 230  5.1  6.2  0.20 99.00 99.00 999 1024.0   8.9 999.0   3.4 99.0 99.00
2007 01 03 22 30 230  5.1  6.2 99.00 99.00 99.00 999 1024.3   8.9 999.0   3.3 99.0 99.00
