Buoy 44017 Time	Buoy 44017 Wave Height	Buoy 44017 U10	SARAL-AltiKa Time	SARAL-AltiKa Wave Height	SARAL-AltiKa Wind Speed	Buoy-Sat. Distance (km)	Time Difference (min.)
2015-05-25 23:50:00.000000000	0.78	10.037722105945123	2015-05-25 23:21:37.495393024	0.9820000529289246	7.589999675750732	10.457611975600823	-28.375076782933334
2015-06-29 23:50:00.000000000	1.58	8.272847889515212	2015-06-29 23:21:22.727104896	1.6160000562667847	6.699999809265137	14.021560637746404	-28.621214918400003
2015-06-29 23:50:00.000000000	1.58	8.272847889515212	2015-06-29 23:21:23.765152000	1.5730000734329224	6.269999980926514	7.862885874943956	-28.603914133333333
2015-06-29 23:50:00.000000000	1.58	8.272847889515212	2015-06-29 23:21:25.841248960	1.571000099182129	6.12999963760376	9.194974234666269	-28.569312517333334
2015-07-26 10:50:00.000000000	0.62	5.184318010762866	2015-07-26 10:21:19.420824064	0.703000009059906	4.670000076293945	14.912536052940938	-28.676319598933333
2015-08-03 23:50:00.000000000	1.39	9.596503551837644	2015-08-03 23:21:44.998142976	1.255000114440918	7.279999732971191	14.042780066966353	-28.2500309504
2015-08-30 10:50:00.000000000	0.88	6.5079736730853	2015-08-30 10:21:22.428884992	0.9220000505447388	4.400000095367432	14.489202896898457	-28.626185250133336
2015-08-30 10:50:00.000000000	0.88	6.5079736730853	2015-08-30 10:21:23.465874880	0.9600000381469727	4.420000076293945	11.970398015673837	-28.608902085333334
2015-08-30 10:50:00.000000000	0.88	6.5079736730853	2015-08-30 10:21:24.502867968	0.9390000700950623	4.440000057220459	13.188034557739735	-28.5916188672
2015-10-04 10:50:00.000000000	3.71	15.883867947869208	2015-10-04 10:21:19.527762880	3.2100000381469727	13.799999237060547	14.996809877663761	-28.674537285333333
2015-10-12 23:50:00.000000000	0.64	4.963708733709127	2015-10-12 23:21:38.169734016	0.706000030040741	4.110000133514404	14.594800056410369	-28.363837766400003
2015-12-13 10:50:00.000000000	0.78	1.3236556623224338	2015-12-13 10:21:07.435682048	0.956000030040741	3.0299999713897705	14.531964569106007	-28.876071965866668
2015-12-13 10:50:00.000000000	0.78	1.3236556623224338	2015-12-13 10:21:08.473202944	0.9980000257492065	2.7799999713897705	12.573188495579164	-28.858779950933336
2015-12-13 10:50:00.000000000	0.78	1.3236556623224338	2015-12-13 10:21:09.510724096	0.9050000309944153	2.2100000381469727	14.224646501462363	-28.841487931733333
2015-12-21 23:50:00.000000000	2.4	12.464424153536253	2015-12-21 23:21:24.279782080	2.1410000324249268	9.760000228881836	14.98355138894525	-28.595336965333335
2015-12-21 23:50:00.000000000	2.4	12.464424153536253	2015-12-21 23:21:25.316246976	2.127000093460083	10.729999542236328	14.013084904222898	-28.5780625504
2016-02-21 10:50:00.000000000	1.74	8.82437108214956	2016-02-21 10:20:58.683145984	2.064000129699707	8.380000114440918	12.72301926927216	-29.02194756693333
2016-03-27 10:50:00.000000000	0.97	6.5079736730853	2016-03-27 10:20:54.202625984	0.9500000476837158	4.710000038146973	11.205655236987802	-29.096622900266667
2016-03-27 10:50:00.000000000	0.97	6.5079736730853	2016-03-27 10:20:56.278722048	1.0329999923706055	4.159999847412109	14.813047104068271	-29.0620212992
2016-05-01 10:50:00.000000000	1.31	4.743099456655388	2016-05-01 10:20:47.347521088	1.2930001020431519	3.9700000286102295	13.425780986213422	-29.210874648533334
2016-05-01 10:50:00.000000000	1.31	4.743099456655388	2016-05-01 10:20:49.421504000	1.3930000066757202	3.7799999713897705	12.112114774109536	-29.17630826666667
2016-05-09 23:50:00.000000000	1.53	9.044980359203297	2016-05-09 23:21:02.215517056	1.5350000858306885	7.25	14.652188973886418	-28.963074715733335
2016-06-13 23:50:00.000000000	0.48	3.529748432859824	2016-06-13 23:20:33.514681088	0.531000018119812	4.25	11.663629602675865	-29.441421981866664
2016-06-13 23:50:00.000000000	0.48	3.529748432859824	2016-06-13 23:20:34.552730112	0.5610000491142273	3.990000009536743	7.5287015813079	-29.4241211648
2016-06-13 23:50:00.000000000	0.48	3.529748432859824	2016-06-13 23:20:35.590778112	0.5300000309944153	4.130000114440918	8.646511208184672	-29.4068203648
2016-06-13 23:50:00.000000000	0.48	3.529748432859824	2016-06-13 23:20:36.628117056	0.578000009059906	4.150000095367432	13.790345363355703	-29.389531382399998
2016-07-10 10:50:00.000000000	0.89	3.860662348440432	2016-07-10 10:21:31.500369088	0.9740000367164612	3.419999837875366	12.35807855844754	-28.474993848533334
2016-07-10 10:50:00.000000000	0.89	3.860662348440432	2016-07-10 10:21:32.539474944	0.987000048160553	3.7699999809265137	9.661824468358207	-28.4576754176
2016-07-10 10:50:00.000000000	0.89	3.860662348440432	2016-07-10 10:21:33.578577984	0.9570000171661377	3.9700000286102295	11.469566510833506	-28.440357033599998
2016-09-09 10:50:00.000000000	1.09	7.390410781300256	2016-09-09 10:20:59.094271872	1.2130000591278076	6.5	12.953165018291807	-29.0150954688
2016-09-09 10:50:00.000000000	1.09	7.390410781300256	2016-09-09 10:21:00.131791104	1.1510000228881836	6.309999942779541	7.0764802203409065	-28.9978034816
2016-09-09 10:50:00.000000000	1.09	7.390410781300256	2016-09-09 10:21:01.169312000	1.0980000495910645	6.299999713897705	5.450849232246562	-28.980511466666666
