#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2019 04 30 23 50 103  2.9  3.2  0.87  5.88  5.01 144 1027.3   9.8  10.6 999.0 99.0 99.00
2019 05 01 00 50 119  2.2  2.6  0.87  6.25  4.89 168 1028.3  10.0  10.3 999.0 99.0 99.00
2019 05 01 01 50  96  3.4  4.2  0.85  5.56  4.80 130 1028.8  10.1  10.4 999.0 99.0 99.00
2019 05 01 02 50 110  4.1  4.8  0.79  5.56  4.77 115 1028.9  10.1  10.4 999.0 99.0 99.00
2019 05 01 03 50 132  3.4  3.8  0.86  5.88  4.89 134 1029.5  10.0  10.5 999.0 99.0 99.00
2019 05 01 04 50 140  3.9  4.5  0.81  5.88  4.80 144 1029.9   9.9  10.5 999.0 99.0 99.00
2019 05 01 05 50 153  3.0  3.9  0.76  5.56  4.67 130 1029.9   9.8  10.4 999.0 99.0 99.00
2019 05 01 06 50 142  2.5  3.0  0.77  4.76  4.63 123 1030.2   9.8  10.3 999.0 99.0 99.00
2019 05 01 07 50 127  4.5  5.4  0.78  5.88  4.69 132 1029.6   9.7  10.3 999.0 99.0 99.00
2019 05 01 08 50  97  4.6  5.5  0.83  6.67  4.71 136 1029.4   9.5  10.3 999.0 99.0 99.00
2019 05 01 09 50  98  3.9  4.6  0.75  5.88  4.71 131 1029.7   9.6  10.2 999.0 99.0 99.00
2019 05 01 10 50 103  2.4  2.9  0.68  6.67  4.66 129 1031.0   9.8  10.3 999.0 99.0 99.00
2019 05 01 11 50  90  3.7  4.4  0.69  5.56  4.89 137 1031.3   9.9  10.3 999.0 99.0 99.00
2019 05 01 12 50  96  3.8  4.6  0.60  5.56  4.59 136 1031.2  10.1  10.4 999.0 99.0 99.00
2019 05 01 13 50  83  5.6  6.7  0.56  6.25  4.51 141 1030.7  10.1  10.4 999.0 99.0 99.00
2019 05 01 14 50  84  5.3  6.3  0.60  5.88  4.28 132 1030.8  10.1  10.5 999.0 99.0 99.00
2019 05 01 15 50  99  6.2  7.1  0.57  5.26  3.95 128 1030.5  10.1  10.5 999.0 99.0 99.00
2019 05 01 16 50  86  5.8  6.7  0.61  5.88  3.84 144 1030.1  10.2  10.4 999.0 99.0 99.00
2019 05 01 17 50  96  6.8  7.9  0.62  5.56  3.67 134 1029.2  10.2  10.4 999.0 99.0 99.00
2019 05 01 18 50  97  7.4  8.6  0.70  4.76  3.53 131 1028.4  10.2  10.5 999.0 99.0 99.00
2019 05 01 19 50  91  7.2  8.5  0.76  5.00  3.72 116 1027.6  10.0  10.4 999.0 99.0 99.00
2019 05 01 20 50  91  7.9  9.1  0.85  3.45  3.65  98 1026.6   9.5  10.4 999.0 99.0 99.00
2019 05 01 21 50  90  7.6  8.8  0.95  3.85  3.78 102 1025.8   9.6  10.3 999.0 99.0 99.00
2019 05 01 22 50  82  6.8  8.0  0.89  4.76  3.76 131 1025.4  10.0  10.2 999.0 99.0 99.00
2019 05 01 23 50  85  6.3  7.1  0.97  4.76  4.00 105 1024.8  10.0  10.2 999.0 99.0 99.00
2019 05 02 00 50  85  6.4  7.4  0.85  4.35  3.98 106 1024.2  10.3  10.2 999.0 99.0 99.00
2019 05 02 01 50 104  6.6  8.1  0.87  5.26  3.99 125 1023.4  10.7  10.2 999.0 99.0 99.00
2019 05 02 02 50 119  3.2  3.8  0.83  5.56  4.06 126 1022.8  10.7  10.2 999.0 99.0 99.00
2019 05 02 03 50 182  4.0  4.6  0.83  5.26  4.21 130 1021.8  11.4  10.3 999.0 99.0 99.00
2019 05 02 04 50 209  5.3  6.0  0.85  5.88  4.36 142 1021.1  11.2  10.3 999.0 99.0 99.00
2019 05 02 05 50 232  4.6  5.3  0.90  5.88  4.56 139 1020.6  10.9  10.3 999.0 99.0 99.00
2019 05 02 06 50 233  4.2  5.0  0.91  6.25  4.70 142 1019.7  10.9  10.3 999.0 99.0 99.00
2019 05 02 07 50 253  3.1  4.1  0.95  6.25  4.88 152 1019.5  10.5  10.3 999.0 99.0 99.00
2019 05 02 08 50 299  2.9  3.7  0.87  5.88  4.84 140 1019.7  10.5  10.3 999.0 99.0 99.00
2019 05 02 09 50 353  3.7  4.3  0.87  6.25  5.01 133 1019.8  10.2  10.3 999.0 99.0 99.00
