YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
1999 01 03 09  91  9.0 10.3 99.00 99.00 99.00 999 1027.4  -2.2 999.0 999.0 99.0
1999 01 03 10  97 10.6 11.2 99.00 99.00 99.00 999 1025.7   -.3 999.0 999.0 99.0
1999 01 03 11 106 13.2 14.7 99.00 99.00 99.00 999 1024.3   1.6 999.0 999.0 99.0
1999 01 03 12 103 14.8 16.3 99.00 99.00 99.00 999 1022.6   2.9 999.0 999.0 99.0
1999 01 03 13 107 16.3 17.6 99.00 99.00 99.00 999 1021.4   3.9 999.0 999.0 99.0
1999 01 03 14 110 16.6 18.8 99.00 99.00 99.00 999 1019.6   4.8 999.0 999.0 99.0
1999 01 03 15 112 16.3 19.6 99.00 99.00 99.00 999 1017.7   5.6 999.0 999.0 99.0
1999 01 03 16 117 17.7 19.4 99.00 99.00 99.00 999 1015.1   6.5 999.0 999.0 99.0
1999 01 03 17 116 20.0 23.2 99.00 99.00 99.00 999 1012.0   6.7 999.0 999.0 99.0
1999 01 03 18 116 19.5 23.6 99.00 99.00 99.00 999 1008.6   6.9 999.0 999.0 99.0
1999 01 03 19 118 20.1 23.1 99.00 99.00 99.00 999 1005.8   7.4 999.0 999.0 99.0
1999 01 03 20 127 25.7 28.5 99.00 99.00 99.00 999 1002.2   8.8 999.0 999.0 99.0
1999 01 03 21 125 21.5 24.2 99.00 99.00 99.00 999  999.8   9.5 999.0 999.0 99.0
1999 01 03 22 140 19.4 21.7 99.00 99.00 99.00 999  999.3  10.0 999.0 999.0 99.0
1999 01 03 23 142 10.7 11.0 99.00 99.00 99.00 999  997.9  11.6 999.0 999.0 99.0
1999 01 04 00 210 12.3 13.5 99.00 99.00 99.00 999  999.3  10.5 999.0 999.0 99.0
1999 01 04 01 222 12.1 13.1 99.00 99.00 99.00 999  999.9   8.5 999.0 999.0 99.0
1999 01 04 02 229 13.2 14.9 99.00 99.00 99.00 999 1001.3   7.1 999.0 999.0 99.0
1999 01 04 03 242 11.5 13.0 99.00 99.00 99.00 999 1003.4   5.5 999.0 999.0 99.0
1999 01 04 04 247 13.3 14.9 99.00 99.00 99.00 999 1004.6   5.0 999.0 999.0 99.0
1999 01 04 05 246 11.0 12.0 99.00 99.00 99.00 999 1005.8   4.7 999.0 999.0 99.0
1999 01 04 06 238 12.3 13.6 99.00 99.00 99.00 999 1006.6   6.1 999.0 999.0 99.0
1999 01 04 07 237 14.8 16.5 99.00 99.00 99.00 999 1007.3   5.2 999.0 999.0 99.0
1999 01 04 08 244 14.0 15.4 99.00 99.00 99.00 999 1007.8   4.5 999.0 999.0 99.0
1999 01 04 09 247 14.3 16.3 99.00 99.00 99.00 999 1008.1   4.1 999.0 999.0 99.0
1999 01 04 10 240 14.0 15.6 99.00 99.00 99.00 999 1009.3   3.4 999.0 999.0 99.0
1999 01 04 11 249 13.6 15.3 99.00 99.00 99.00 999 1010.1   2.5 999.0 999.0 99.0
1999 01 04 12 252 14.0 15.0 99.00 99.00 99.00 999 1011.2   1.5 999.0 999.0 99.0
1999 01 04 13 258 12.5 14.5 99.00 99.00 99.00 999 1012.3    .5 999.0 999.0 99.0
1999 01 04 14 256 12.4 13.8 99.00 99.00 99.00 999 1013.4   -.2 999.0 999.0 99.0
1999 01 04 15 247 12.4 13.3 99.00 99.00 99.00 999 1014.4   -.5 999.0 999.0 99.0
1999 01 04 16 253 12.7 13.8 99.00 99.00 99.00 999 1014.6   -.8 999.0 999.0 99.0
1999 01 04 17 244 13.5 14.6 99.00 99.00 99.00 999 1014.5  -1.2 999.0 999.0 99.0
1999 01 04 18 251 14.9 16.2 99.00 99.00 99.00 999 1014.2  -1.3 999.0 999.0 99.0
1999 01 04 19 257 12.0 13.5 99.00 99.00 99.00 999 1014.4   -.9 999.0 999.0 99.0
1999 01 04 20 255 11.0 12.3 99.00 99.00 99.00 999 1014.5  -1.1 999.0 999.0 99.0
1999 01 04 21 262 11.0 11.9 99.00 99.00 99.00 999 1015.2   -.8 999.0 999.0 99.0
