YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2005 01 03 04 00 180  8.3  9.0 99.00 99.00 99.00 999 1031.0   8.2 999.0 999.0 99.0 99.00
2005 01 03 05 00 188  9.1  9.5 99.00 99.00 99.00 999 1029.9   8.9 999.0 999.0 99.0 99.00
2005 01 03 06 00 200  9.9 10.3 99.00 99.00 99.00 999 1028.6   9.6 999.0 999.0 99.0 99.00
2005 01 03 07 00 208  8.8  9.4 99.00 99.00 99.00 999 1028.0   9.9 999.0 999.0 99.0 99.00
2005 01 03 08 00 210 10.8 11.3 99.00 99.00 99.00 999 1027.4  10.4 999.0 999.0 99.0 99.00
2005 01 03 09 00 210  9.6 10.2 99.00 99.00 99.00 999 1026.6  10.4 999.0 999.0 99.0 99.00
2005 01 03 10 00 218  8.4  8.8 99.00 99.00 99.00 999 1026.4  10.5 999.0 999.0 99.0 99.00
2005 01 03 11 00 244  7.7  7.9 99.00 99.00 99.00 999 1026.7  10.3 999.0 999.0 99.0 99.00
2005 01 03 12 00 223  9.8 10.5 99.00 99.00 99.00 999 1026.0  10.5 999.0 999.0 99.0 99.00
2005 01 03 13 00 222  9.6 10.2 99.00 99.00 99.00 999 1025.7  10.7 999.0 999.0 99.0 99.00
2005 01 03 14 00 225  9.5 10.3 99.00 99.00 99.00 999 1025.9  10.2 999.0 999.0 99.0 99.00
2005 01 03 15 00 233  8.2  8.7 99.00 99.00 99.00 999 1026.1   9.7 999.0 999.0 99.0 99.00
2005 01 03 16 00 227  8.9  9.3 99.00 99.00 99.00 999 1025.0   8.9 999.0 999.0 99.0 99.00
2005 01 03 17 00 226  8.2  8.9 99.00 99.00 99.00 999 1024.2   9.1 999.0 999.0 99.0 99.00
2005 01 03 18 00 233  9.0  9.5 99.00 99.00 99.00 999 1023.6   9.2 999.0 999.0 99.0 99.00
2005 01 03 19 00 240  6.4  6.9 99.00 99.00 99.00 999 1023.4   9.3 999.0 999.0 99.0 99.00
2005 01 03 20 00 222  6.5  6.9 99.00 99.00 99.00 999 1023.3   9.2 999.0 999.0 99.0 99.00
2005 01 03 21 00 227  5.3  5.7 99.00 99.00 99.00 999 1023.6   9.3 999.0 999.0 99.0 99.00
2005 01 03 22 00 216  6.1  6.2 99.00 99.00 99.00 999 1023.5   9.8 999.0 999.0 99.0 99.00
2005 01 03 23 00 229  3.9  4.0 99.00 99.00 99.00 999 1023.7   9.6 999.0 999.0 99.0 99.00
2005 01 04 00 00 262  3.2  3.4 99.00 99.00 99.00 999 1023.6   9.8 999.0 999.0 99.0 99.00
2005 01 04 01 00 321  1.8  1.9 99.00 99.00 99.00 999 1023.4   9.7 999.0 999.0 99.0 99.00
2005 01 04 02 00   0  0.0  0.0 99.00 99.00 99.00 999 1023.0   9.0 999.0 999.0 99.0 99.00
2005 01 04 03 00  80  2.7  2.8 99.00 99.00 99.00 999 1022.5   8.9 999.0 999.0 99.0 99.00
2005 01 04 04 00  37  4.4  4.7 99.00 99.00 99.00 999 1022.1   8.8 999.0 999.0 99.0 99.00
2005 01 04 05 00  57  4.8  5.2 99.00 99.00 99.00 999 1021.0   8.0 999.0 999.0 99.0 99.00
2005 01 04 06 00  70  5.0  5.3 99.00 99.00 99.00 999 1019.8   8.3 999.0 999.0 99.0 99.00
2005 01 04 07 00  55  8.6  9.1 99.00 99.00 99.00 999 1018.9   8.0 999.0 999.0 99.0 99.00
2005 01 04 08 00  40  7.9  8.5 99.00 99.00 99.00 999 1017.9   7.5 999.0 999.0 99.0 99.00
2005 01 04 09 00  16  7.8  8.3 99.00 99.00 99.00 999 1017.8   7.7 999.0 999.0 99.0 99.00
2005 01 04 10 00  18  8.1  8.6 99.00 99.00 99.00 999 1017.5   7.5 999.0 999.0 99.0 99.00
