#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2009 12 31 23 50  32  4.5  5.4  0.56  2.94  3.51  16 1017.5   4.3   7.7   3.0 99.0 99.00
2010 01 01 00 50  45  4.3  5.5  0.54  2.94  3.80  11 1017.2   4.5   7.8   3.2 99.0 99.00
2010 01 01 01 50  31  4.0  4.8  0.52  5.00  3.70 176 1017.1   4.5   7.8   3.3 99.0 99.00
2010 01 01 02 50  21  5.1  5.9  0.52 11.43  3.97  91 1016.5   4.3   7.8   3.1 99.0 99.00
2010 01 01 03 50  18  3.6  4.4  0.57 12.12  3.89  86 1016.4   4.2   8.0   2.9 99.0 99.00
2010 01 01 04 50  30  3.8  4.4  0.53  4.76  3.98 162 1015.5   4.3   7.9   3.0 99.0 99.00
2010 01 01 05 50  28  3.2  3.9  0.56  4.76  4.13 159 1014.9   4.3   7.8   3.0 99.0 99.00
2010 01 01 06 50  13  3.0  3.8  0.54  5.00  4.17 133 1015.0   4.2   7.8   2.8 99.0 99.00
2010 01 01 07 50   3  3.0  3.8  0.61  5.00  4.35 132 1014.8   4.2   7.8   2.8 99.0 99.00
2010 01 01 08 50  15  3.0  3.7  0.62  5.56  4.58 126 1014.1   4.1   7.9   2.6 99.0 99.00
2010 01 01 09 50 358  2.5  3.3  0.85  8.33  5.45 176 1013.8   4.1   7.9   2.4 99.0 99.00
2010 01 01 10 50  17  2.3  3.1  1.24  8.33  6.45 166 1013.4   4.2   8.0   2.5 99.0 99.00
2010 01 01 11 50 342  2.7  3.6  1.33  8.33  6.63 177 1013.7   4.2   8.2   2.4 99.0 99.00
2010 01 01 12 50 316  3.0  3.9  1.19  8.33  6.55 166 1013.6   4.1   8.3   2.3 99.0 99.00
2010 01 01 13 50 318  3.6  4.7  1.27  9.09  6.78 157 1013.3   4.3   8.2   2.4 99.0 99.00
2010 01 01 14 50 322  4.6  6.0  1.26  8.33  6.97 158 1012.9   4.3   8.0   2.5 99.0 99.00
2010 01 01 15 50 304  3.8  5.3  1.31  8.33  7.12 158 1012.6   4.3   8.0   2.6 99.0 99.00
2010 01 01 16 50 333  2.5  3.8  1.33  9.09  7.14 167 1011.3   4.3   7.8   2.6 99.0 99.00
2010 01 01 17 50 315  2.2  3.5  1.35  9.09  7.18 164 1010.6   4.3   7.8   2.1 99.0 99.00
2010 01 01 18 50 311  4.1  5.1  1.42  9.09  7.35 171 1010.0   4.3   7.7   2.0 99.0 99.00
2010 01 01 19 50 334  4.0  5.2  1.46  9.09  7.26 177 1009.8   4.3   7.6   1.9 99.0 99.00
2010 01 01 20 50 352  5.1  6.7  1.42  8.33  7.21 184 1009.6   4.0   7.5   1.5 99.0 99.00
2010 01 01 21 50 338  5.0  6.7  1.29  8.33  6.73 182 1009.3   4.0   7.5   1.6 99.0 99.00
2010 01 01 22 50   2  5.8  7.0  1.57  9.09  7.19 170 1008.7   3.8   7.5   1.3 99.0 99.00
2010 01 01 23 50 349  5.9  7.3  1.47  9.09  6.68 180 1008.3   4.3   7.5   1.6 99.0 99.00
2010 01 02 00 50 343  7.0  8.6  1.36  9.09  6.14 173 1007.5   5.2   7.6   1.5 99.0 99.00
2010 01 02 01 50 343  8.0  9.4  1.35 10.00  5.58 157 1006.8   5.2   7.6   1.4 99.0 99.00
2010 01 02 02 50 342  7.9  9.4  1.23 10.00  4.99 164 1006.2   5.1   7.6   0.5 99.0 99.00
2010 01 02 03 50 341  8.2  9.6  1.15  9.09  4.80 163 1005.5   4.5   7.7   1.0 99.0 99.00
2010 01 02 04 50 335  9.0 10.7  1.15 10.00  5.02 163 1004.6   4.3   7.8   1.1 99.0 99.00
2010 01 02 05 50 327  9.5 11.4  1.22  8.33  4.40 176 1003.9   4.0   7.8   1.2 99.0 99.00
2010 01 02 06 50 321 12.1 14.1  1.46  4.76  4.43 279 1003.7   2.5   7.9   0.8 99.0 99.00
2010 01 02 07 50 317 11.9 14.3  1.57  4.55  4.56 290 1003.8   2.0   8.0  -1.1 99.0 99.00
2010 01 02 08 50 315 12.1 14.5  1.62  5.56  4.89 278 1003.4   1.6   8.1  -1.3 99.0 99.00
2010 01 02 09 50 317 11.5 13.8  1.74  5.56  4.94 280 1003.1   1.4   8.3  -1.7 99.0 99.00
2010 01 02 10 50 319 11.9 14.2  1.69  5.88  4.87 277 1002.7   1.3   8.3  -2.4 99.0 99.00
2010 01 02 11 50 323 11.9 14.8  1.73  5.88  4.78 285 1002.4   1.1   8.3  -2.2 99.0 99.00
2010 01 02 12 50 319 12.5 15.3  1.65  5.26  4.67 291 1002.1   0.6   8.3  -3.0 99.0 99.00
2010 01 02 13 50 319 12.0 14.1  1.56  5.56  4.53 285 1002.2   0.7   8.3  -3.3 99.0 99.00
2010 01 02 14 50 321 12.1 14.4  1.72  5.88  4.55 287 1002.1   0.6   8.4  -3.6 99.0 99.00
2010 01 02 15 50 316 12.9 15.6  1.71  5.88  4.52 284 1001.6  -0.3   8.3  -4.4 99.0 99.00
2010 01 02 16 50 319 13.3 16.6  1.75  5.56  4.52 284 1001.0  -0.4   8.3  -5.6 99.0 99.00
2010 01 02 17 50 324 13.7 18.0  1.92  5.88  4.65 288 1000.4  -0.8   8.3  -5.0 99.0 99.00
2010 01 02 18 50 316 13.4 16.3  1.95  5.88  4.77 282 1000.4  -0.8   8.3  -5.5 99.0 99.00
2010 01 02 19 50 319 14.4 17.5  2.01  5.88  4.84 276 1000.8  -1.5   8.3  -5.7 99.0 99.00
2010 01 02 20 50 316 14.8 18.0  2.11  6.25  5.05 282 1000.9  -1.2   8.3  -5.9 99.0 99.00
2010 01 02 21 50 321 15.1 18.3  2.44  6.67  5.37 278 1001.2  -1.0   8.3  -6.7 99.0 99.00
2010 01 02 22 50 321 15.2 19.7  2.50  6.67  5.42 281 1001.7  -1.4   8.4  -6.9 99.0 99.00
2010 01 02 23 50 319 16.2 19.8  2.54  6.67  5.28 279 1001.8  -2.2   8.4  -7.6 99.0 99.00
2010 01 03 00 50 315 16.2 20.0  2.91  7.14  5.72 274 1001.9  -2.6   8.5  -7.2 99.0 99.00
