YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2002 01 01 00 269  9.2 12.0  1.32  5.00  4.18 254 1017.2   0.1   8.7  -7.9 99.0 99.00
2002 01 01 01 270  8.8 12.0  1.32  5.00  4.17 258 1017.3   0.0   8.7  -8.6 99.0 99.00
2002 01 01 02 276  8.8 12.8  1.38  4.55  4.23 264 1017.3   0.0   8.9  -7.7 99.0 99.00
2002 01 01 03 271  8.9 11.8  1.34  4.55  4.22 276 1017.2  -0.2   9.0  -8.0 99.0 99.00
2002 01 01 04 289  8.4 11.0  1.24  4.76  4.23 277 1017.0  -0.3   9.0  -7.4 99.0 99.00
2002 01 01 05 302  7.2 10.0  1.23  5.00  4.19 282 1016.6  -0.3   9.0  -8.0 99.0 99.00
2002 01 01 06 302  6.8  8.8  1.09  4.76  4.11 286 1016.8  -0.4   9.0  -8.8 99.0 99.00
2002 01 01 07 303  7.3  9.3  1.05  4.76  4.06 270 1017.0  -0.3   9.0  -7.6 99.0 99.00
2002 01 01 08 315  7.8 10.1  1.00  4.55  3.92 288 1016.9  -0.6   9.0  -7.6 99.0 99.00
2002 01 01 09 318  6.3  8.3  0.96  4.55  3.98 281 1016.9  -0.7   9.0  -6.9 99.0 99.00
2002 01 01 10 307  6.1  8.3  0.91  4.55  3.94 289 1016.5  -1.1   8.9  -7.5 99.0 99.00
2002 01 01 11 319  5.9  8.2  0.90  4.55  3.97 283 1016.5  -1.5   8.7  -7.4 99.0 99.00
2002 01 01 12 307  5.6  7.8  0.82  4.35  3.83 277 1017.2  -1.8   8.7  -8.3 99.0 99.00
2002 01 01 13 310  5.4  7.5  0.81  4.55  3.85 279 1017.4  -1.6   8.7  -7.5 99.0 99.00
2002 01 01 14 309  6.9  9.9  0.78  4.35  3.75 283 1018.0  -1.5   8.7  -6.8 99.0 99.00
2002 01 01 15 316  5.9  7.8  0.77  4.35  3.71 285 1018.1  -1.6   8.7  -7.1 99.0 99.00
2002 01 01 16 304  6.0  7.6  0.77  4.35  3.73 284 1017.8  -1.5   8.7  -7.2 99.0 99.00
2002 01 01 17 310  7.3  9.0  0.87  4.35  3.83 286 1017.2  -0.8   8.7  -6.7 99.0 99.00
2002 01 01 18 294  8.4 10.1  0.87  4.55  3.80 290 1016.5  -0.1   8.9  -6.9 99.0 99.00
2002 01 01 19 301  8.5 10.4  0.92  4.76  3.79 285 1016.5   0.4   9.0  -6.4 99.0 99.00
